day,phase,box,mouse,time_bin,time_window,s_wall_count,s_wall_duration,s_wall_mean_duration,nest_duration,outside_nest_duration,nest_count,nest_mean_duration,s_wall_duration_fraction,s_wall_event_rate,ramp1_count,ramp1_duration,ramp1_mean_duration,ramp1_duration_fraction,ramp1_event_rate,ramp2_count,ramp2_duration,ramp2_mean_duration,ramp2_duration_fraction,ramp2_event_rate,non_wall_count,non_wall_duration,non_wall_mean_duration,non_wall_duration_fraction,non_wall_event_rate,woodstick_count,woodstick_duration,woodstick_mean_duration,woodstick_duration_fraction,woodstick_event_rate,feeder_prox_count,feeder_prox_duration,feeder_prox_mean_duration,feeder_prox_duration_fraction,feeder_prox_event_rate,feeder_dist_count,feeder_dist_duration,feeder_dist_mean_duration,feeder_dist_duration_fraction,feeder_dist_event_rate,water_prox_count,water_prox_duration,water_prox_mean_duration,water_prox_duration_fraction,water_prox_event_rate,water_dist_count,water_dist_duration,water_dist_mean_duration,water_dist_duration_fraction,water_dist_event_rate,motionless_count,motionless_duration,motionless_mean_duration,motionless_duration_fraction,motionless_event_rate,speeding_count,speeding_duration,speeding_mean_duration,speeding_duration_fraction,speeding_event_rate,chasing_duration,chasing_count,chasing_mean_duration,chased_duration,chased_count,chased_mean_duration,chasing_duration_fraction,chasing_event_rate,chased_duration_fraction,chased_event_rate,chasing_duration_ratio,chased_duration_ratio,chasing_event_ratio,chased_event_ratio,total_distance,valid_locomotion_duration,mean_speed,median_speed,mean_abs_angular_velocity,mean_abs_acceleration,valid_locomotion_duration_fraction,nest_frames,weighted_sum,alone_sum,weighted_co_occupancy,alone_fraction,feeding_frames,drinking_frames,ramps_frames,s_wall_frames,feeding_together_frames,drinking_together_frames,ramps_together_frames,s_wall_together_frames,feeding_alone_frames,drinking_alone_frames,ramps_alone_frames,s_wall_alone_frames,feeding_together_fraction,feeding_alone_fraction,drinking_together_fraction,drinking_alone_fraction,ramps_together_fraction,ramps_alone_fraction,s_wall_together_fraction,s_wall_alone_fraction
1,active,1,blue,18,16-18,13.0,124.84,9.603076923076925,1567.32,5632.68,27.0,58.04888888888889,0.0221635171889757,0.0023079599764233,3.0,14.2,4.733333333333333,0.0025210024357854,0.0005326061484053,9.0,91.64,10.182222222222222,0.0162693424799562,0.0015978184452161,36,2894.52,80.40333333333334,0.5138797162274441,0.0063912737808645,,,,,,13.0,69.92,5.378461538461538,0.0124132739655013,0.0023079599764233,42.0,447.12,10.645714285714286,0.0793796203583374,0.0074564860776752,5.0,59.12,11.824,0.0104958918312419,0.0008876769140089,1.0,18.6,18.6,0.0033021581201133,0.0001775353828017,36.0,149.76,4.16,0.0265876989283964,0.0063912737808645,2.0,4.2,2.1,0.0007456486077675,0.0003550707656035,1.2,1.0,1.2,0.0,0.0,0.0,0.0002130424593621,0.0001775353828017,0.0,0.0,1.0,0.0,1.0,0.0,51.31668162203753,1706.0,0.0300801181840782,0.0046374026013689,2.0130349297434114,0.0261888520925183,0.3028753630598578,39210.0,39196.333333333336,0.0,0.9996514494601718,0.0,12981.0,1949.0,2658.0,3134.0,468.0,0.0,0.0,0.0,12513.0,1949.0,2658.0,3134.0,0.0360526923965796,0.9639473076034204,0.0,1.0,0.0,1.0,0.0,1.0
1,active,1,blue,20,18-20,26.0,114.56,4.406153846153846,4581.16,2618.84,82.0,55.86780487804878,0.0437445586595591,0.0099280597516457,10.0,36.52,3.652,0.0139451054665424,0.0038184845198637,18.0,79.72,4.428888888888888,0.0304409585923538,0.0068732721357547,92,6570.68,71.4204347826087,2.509003986497839,0.0351300575827465,,,,,,54.0,315.32,5.839259259259259,0.1204044538803439,0.0206198164072642,18.0,97.64,5.424444444444444,0.0372836828519497,0.0068732721357547,12.0,74.44,6.203333333333333,0.0284247987658658,0.0045821814238365,1.0,1.08,1.08,0.0004123963281452,0.0003818484519863,33.0,142.36,4.313939393939394,0.0543599456247804,0.0126009989155503,6.0,19.4,3.233333333333333,0.0074078599685356,0.0022910907119182,12.4,12.0,1.0333333333333334,0.0,0.0,0.0,0.004734920804631,0.0045821814238365,0.0,0.0,1.0,0.0,1.0,0.0,134.09697002559503,2540.0,0.0527940826872421,0.0117643583314384,1.8925114759281747,0.0450964703707573,0.969895068045394,114611.0,99914.0,7.0,0.8717662353526275,6.107616197398156e-05,10396.0,1901.0,2934.0,2890.0,2513.0,61.0,98.0,20.0,7883.0,1840.0,2836.0,2870.0,0.2417275875336668,0.7582724124663333,0.0320883745397159,0.967911625460284,0.0334014996591683,0.9665985003408316,0.0069204152249134,0.9930795847750864
1,active,1,blue,22,20-22,7.0,37.16,5.308571428571428,6048.68,1151.3199999999997,27.0,224.0251851851852,0.0322759962477851,0.0060799777646527,3.0,9.72,3.24,0.0084424834103463,0.0026057047562797,5.0,16.2,3.24,0.0140708056839106,0.0043428412604662,18,7083.44,393.5244444444445,6.152451099607409,0.0156342285376784,,,,,,36.0,191.64,5.323333333333333,0.1664524198311503,0.0312684570753569,21.0,157.0,7.476190476190476,0.1363652155786402,0.0182399332939582,4.0,27.64,6.91,0.0240072264878574,0.0034742730083729,4.0,31.32,7.83,0.0272035576555605,0.0034742730083729,15.0,53.04,3.536,0.0460688600910259,0.0130285237813987,1.0,2.0,2.0,0.0017371365041864,0.0008685682520932,4.0,4.0,1.0,0.0,0.0,0.0,0.0034742730083729,0.0034742730083729,0.0,0.0,1.0,0.0,1.0,0.0,39.82174101678841,1121.0,0.0355234085787586,0.0060958663572096,1.9911998497212553,0.0315476493995663,0.9736650105965328,151244.0,111998.33333333331,7.0,0.7405142242557279,4.628282774853879e-05,8773.0,1482.0,656.0,936.0,397.0,0.0,0.0,0.0,8376.0,1482.0,656.0,936.0,0.0452524791975379,0.954747520802462,0.0,1.0,0.0,1.0,0.0,1.0
1,active,1,blue,24,22-24,16.0,126.16,7.885,5190.92,2009.08,40.0,129.773,0.0627949111035897,0.00796384414757,11.0,38.36,3.4872727272727273,0.0190933163437991,0.0054751428514543,6.0,30.8,5.133333333333334,0.0153303999840723,0.0029864415553387,46,6825.92,148.3895652173913,3.397535190236327,0.0228960519242638,,,,,,47.0,321.84,6.847659574468085,0.1601927250283711,0.0233937921834869,19.0,254.16,13.376842105263158,0.1265056642841499,0.0094570649252394,8.0,68.04,8.505,0.0338662472375415,0.003981922073785,2.0,2.52,1.26,0.0012543054532422,0.0009954805184462,21.0,66.8,3.1809523809523808,0.0332490493161048,0.0104525454436856,8.0,18.88,2.36,0.0093973360941326,0.003981922073785,8.8,7.0,1.2571428571428571,0.0,0.0,0.0,0.0043801142811635,0.0034841818145618,0.0,0.0,1.0,0.0,1.0,0.0,77.33867372296992,1966.0,0.0393380842944913,0.007601407227551,1.9140606111505565,0.0347373411174526,0.9785573496326676,129813.0,108063.66666666666,577.0,0.8324564309172938,0.0044448552918428,14466.0,1774.0,1746.0,3170.0,839.0,0.0,90.0,60.0,13627.0,1774.0,1656.0,3110.0,0.0579980644269321,0.942001935573068,0.0,1.0,0.0515463917525773,0.9484536082474226,0.0189274447949526,0.9810725552050472
1,active,1,green,18,16-18,,,,3241.92,3958.08,9.0,360.21333333333337,,,,,,,,,,,,,1,3302.0,3302.0,0.8342428652275851,0.0002526477484032,,,,,,4.0,28.4,7.1,0.0071751960546527,0.001010590993613,,,,,,,,,,,,,,,,1.0,1.96,1.96,0.0004951895868704,0.0002526477484032,,,,,,0.0,0.0,0.0,1.2,1.0,1.2,0.0,0.0,0.0003031772980839,0.0002526477484032,0.0,1.0,0.0,1.0,0.8101273047758794,48.0,0.0168776521828308,0.0027209733939129,1.6204950471774868,0.0142219977518824,0.0121270919233567,81057.0,65042.333333333314,2.0,0.8024270986260695,2.467399484313508e-05,714.0,0.0,0.0,0.0,473.0,0.0,0.0,0.0,241.0,0.0,0.0,0.0,0.6624649859943977,0.3375350140056022,0.0,0.0,0.0,0.0,0.0,0.0
1,active,1,green,20,18-20,11.0,72.32,6.574545454545454,5492.64,1707.3599999999997,96.0,57.215,0.0423577921469403,0.0064426951550932,8.0,47.96,5.995,0.0280901508762065,0.0046855964764314,9.0,58.92,6.546666666666667,0.0345094180489176,0.0052712960359853,33,6935.2,210.15757575757576,4.061943585418424,0.0193280854652797,,,,,,55.0,710.84,12.924363636363635,0.4163386749133165,0.0322134757754662,6.0,35.8,5.966666666666666,0.0209680442320307,0.0035141973573235,8.0,73.96,9.245,0.0433183394246087,0.0046855964764314,3.0,23.8,7.933333333333334,0.0139396495173835,0.0017570986786617,27.0,88.0,3.259259259259259,0.0515415612407459,0.0158138881079561,2.0,6.52,3.26,0.0038187611282916,0.0011713991191078,0.0,0.0,0.0,6.2,6.0,1.0333333333333334,0.0,0.0,0.0036313372692343,0.0035141973573235,0.0,1.0,0.0,1.0,48.48838982588597,1632.0,0.0297110231776262,0.0052732521744088,1.9754834067976963,0.0241979062441054,0.955861681192016,137412.0,109400.0,1257.0,0.7961458970104502,0.0091476726923412,18727.0,2455.0,2689.0,1819.0,147.0,128.0,31.0,64.0,18580.0,2327.0,2658.0,1755.0,0.0078496288780904,0.9921503711219096,0.0521384928716904,0.9478615071283096,0.0115284492376348,0.9884715507623651,0.0351841671247938,0.964815832875206
1,active,1,green,22,20-22,7.0,18.12,2.5885714285714285,6492.64,707.3599999999997,217.0,29.92,0.0256163763854331,0.0098959511422755,1.0,3.32,3.32,0.0046935082560506,0.0014137073060393,3.0,3.56,1.1866666666666668,0.0050327980095001,0.004241121918118,5,7189.48,1437.896,10.163820402623845,0.0070685365301967,,,,,,5.0,110.04,22.008000000000003,0.1555643519565709,0.0070685365301967,2.0,3.92,1.96,0.0055417326396742,0.0028274146120787,,,,,,,,,,,3.0,10.32,3.44,0.0145894593983261,0.004241121918118,,,,,,,,,,,,,,,,,,,,32.87750306155083,532.0,0.0617998177848699,0.0163035270533181,1.8285117815776195,0.0516066509920422,0.7520922868129386,162533.0,118623.0,787.0,0.7298394787520072,0.0048420936056062,2856.0,0.0,176.0,460.0,92.0,0.0,110.0,353.0,2764.0,0.0,66.0,107.0,0.0322128851540616,0.9677871148459384,0.0,0.0,0.625,0.375,0.7673913043478261,0.2326086956521739
1,active,1,green,24,22-24,3.0,14.2,4.733333333333333,5950.0,1250.0,102.0,58.333333333333336,0.0113599999999999,0.0024,2.0,17.56,8.78,0.014048,0.0016,6.0,48.6,8.1,0.03888,0.0048,11,7120.24,647.2945454545454,5.696192,0.0088,,,,,,42.0,441.32,10.507619047619048,0.353056,0.0336,6.0,34.84,5.8066666666666675,0.027872,0.0048,7.0,75.24,10.748571428571427,0.0601919999999999,0.0056,1.0,1.04,1.04,0.000832,0.0008,10.0,40.0,4.0,0.032,0.008,1.0,2.4,2.4,0.0019199999999999,0.0008,0.0,0.0,0.0,13.6,12.0,1.1333333333333333,0.0,0.0,0.0108799999999999,0.0096,0.0,1.0,0.0,1.0,44.953640256006906,1171.0,0.0383891035491092,0.0070768945731704,2.072504723198536,0.0330834666177998,0.9368,148852.0,122193.0,333.0,0.8209026415499959,0.0022371214360572,11952.0,1915.0,1662.0,358.0,848.0,19.0,934.0,14.0,11104.0,1896.0,728.0,344.0,0.0709504685408299,0.92904953145917,0.0099216710182767,0.9900783289817232,0.5619735258724429,0.4380264741275572,0.0391061452513966,0.9608938547486032
1,active,1,red,18,16-18,,,,3017.44,4182.5599999999995,4.0,754.36,,,,,,,,,,,,,1,3302.0,3302.0,0.7894686507784707,0.0002390880226464,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.08,2.08,0.0004973030871045,0.0002390880226464,1.0,2.44,2.44,0.0005833747752572,0.0002390880226464,,,,,,,,,,,,,,,2.809895198781025,279.0,0.0100713089562043,0.0025821103541616,2.2744973951887975,0.0082141427839209,0.0667055583183505,75440.0,63115.66666666666,206.0,0.8366339696005655,0.0027306468716861,,,,,,,,,,,,,,,,,,,,
1,active,1,red,20,18-20,,,,6832.12,367.8800000000001,24.0,284.6716666666667,,,1.0,2.44,2.44,0.0066325975861694,0.0027182776992497,1.0,9.0,9.0,0.0244644992932477,0.0027182776992497,6,7176.76,1196.1266666666668,19.50842666086767,0.0163096661954985,,,,,,2.0,9.48,4.74,0.0257692725888876,0.0054365553984995,8.0,165.24,20.655,0.4491682070240295,0.021746221593998,2.0,15.6,7.8,0.0424051321082961,0.0054365553984995,,,,,,1.0,2.24,2.24,0.0060889420463194,0.0027182776992497,8.0,22.76,2.845,0.0618680004349244,0.021746221593998,0.0,0.0,0.0,1.4,1.0,1.4,0.0,0.0,0.0038055887789496,0.0027182776992497,0.0,1.0,0.0,1.0,15.467119796243196,345.0,0.0448322312934585,0.0053852366747635,1.9888967407929057,0.039050394134738,0.9378058062411652,170827.0,129568.0,4369.0,0.7584749483395481,0.0255755823142711,4378.0,392.0,288.0,0.0,2391.0,0.0,0.0,0.0,1987.0,392.0,288.0,0.0,0.5461397898583829,0.4538602101416172,0.0,1.0,0.0,1.0,0.0,0.0
