day,phase,box,mouse,time_bin,time_window,s_wall_count,s_wall_duration,s_wall_mean_duration,nest_duration,outside_nest_duration,nest_count,nest_mean_duration,s_wall_duration_fraction,s_wall_event_rate,ramp1_count,ramp1_duration,ramp1_mean_duration,ramp1_duration_fraction,ramp1_event_rate,ramp2_count,ramp2_duration,ramp2_mean_duration,ramp2_duration_fraction,ramp2_event_rate,non_wall_count,non_wall_duration,non_wall_mean_duration,non_wall_duration_fraction,non_wall_event_rate,woodstick_count,woodstick_duration,woodstick_mean_duration,woodstick_duration_fraction,woodstick_event_rate,feeder_prox_count,feeder_prox_duration,feeder_prox_mean_duration,feeder_prox_duration_fraction,feeder_prox_event_rate,feeder_dist_count,feeder_dist_duration,feeder_dist_mean_duration,feeder_dist_duration_fraction,feeder_dist_event_rate,water_prox_count,water_prox_duration,water_prox_mean_duration,water_prox_duration_fraction,water_prox_event_rate,water_dist_count,water_dist_duration,water_dist_mean_duration,water_dist_duration_fraction,water_dist_event_rate,motionless_count,motionless_duration,motionless_mean_duration,motionless_duration_fraction,motionless_event_rate,speeding_count,speeding_duration,speeding_mean_duration,speeding_duration_fraction,speeding_event_rate,chasing_duration,chasing_count,chasing_mean_duration,chased_duration,chased_count,chased_mean_duration,chasing_duration_fraction,chasing_event_rate,chased_duration_fraction,chased_event_rate,chasing_duration_ratio,chased_duration_ratio,chasing_event_ratio,chased_event_ratio,total_distance,valid_locomotion_duration,mean_speed,median_speed,mean_abs_angular_velocity,mean_abs_acceleration,valid_locomotion_duration_fraction,nest_frames,weighted_sum,alone_sum,weighted_co_occupancy,alone_fraction,feeding_frames,drinking_frames,ramps_frames,s_wall_frames,feeding_together_frames,drinking_together_frames,ramps_together_frames,s_wall_together_frames,feeding_alone_frames,drinking_alone_frames,ramps_alone_frames,s_wall_alone_frames,feeding_together_fraction,feeding_alone_fraction,drinking_together_fraction,drinking_alone_fraction,ramps_together_fraction,ramps_alone_fraction,s_wall_together_fraction,s_wall_alone_fraction,time_point,exp,sex,age,mouse_ID,background,treatment,condition,qc_exclude,qc_speed_outlier,qc_exclude_timebin
1,active,1,blue,12.5,12.0-12.5,7.0,66.08,9.44,6.64,1793.36,1.0,6.64,0.0368470357318106,0.0039032876834545,2.0,18.28,9.14,0.0101931569790783,0.0011152250524155,1.0,2.12,2.12,0.0011821385555605,0.0005576125262077,12.0,115.68,9.64,0.064504617031717,0.0066913503144934,1.0,1.52,1.52,0.0008475710398358,0.0005576125262077,,,,,,3.0,12.16,4.053333333333334,0.0067805683186867,0.0016728375786233,,,,,,1.0,3.12,3.12,0.0017397510817683,0.0005576125262077,,,,,,,,,,,,,,,,,,,,,,,,,12.270148172384388,229.0,0.0535814330671807,0.0303106026660852,1.7328867928109388,0.043758370943724,0.1276932685015836,167.0,11.666666666666666,132.0,0.0698602794411177,0.7904191616766467,307.0,79.0,513.0,1659.0,0.0,0.0,54.0,755.0,307.0,79.0,459.0,904.0,0.0,1.0,0.0,1.0,0.1052631578947368,0.8947368421052632,0.4550934297769741,0.5449065702230259,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA,False,False,False
1,active,1,blue,13.0,12.5-13.0,38.0,261.6,6.8842105263157904,126.84,1673.16,18.0,7.046666666666667,0.1563508570608907,0.0227115159339214,27.0,94.2,3.488888888888889,0.0563006526572473,0.0161371297425231,24.0,104.84,4.368333333333333,0.0626598771187453,0.0143441153266872,75.0,1148.48,15.313066666666668,0.6864137320997394,0.0448253603958975,6.0,15.32,2.5533333333333332,0.009156326950202,0.0035860288316718,26.0,99.6,3.8307692307692305,0.0595280786057519,0.0155394582705778,8.0,37.52,4.69,0.0224246336273876,0.0047813717755624,7.0,13.08,1.8685714285714283,0.0078175428530445,0.0041837003036171,5.0,20.56,4.112,0.0122881254631953,0.0029883573597265,2.0,8.72,4.36,0.005211695235363,0.0011953429438906,1.0,2.56,2.56,0.0015300389681799,0.0005976714719453,7.6,7.0,1.0857142857142856,0.0,0.0,0.0,0.0045423031867842,0.0041837003036171,0.0,0.0,1.0,0.0,1.0,0.0,98.9545887517054,1654.0,0.0598274418087698,0.0337472339128942,1.824093309616014,0.0495441015143198,0.988548614597528,3189.0,1136.6666666666667,1148.0,0.3564335737430751,0.3599874568830354,3462.0,853.0,5027.0,6578.0,962.0,0.0,782.0,1893.0,2500.0,853.0,4245.0,4685.0,0.2778740612362796,0.7221259387637204,0.0,1.0,0.1555599761289039,0.8444400238710961,0.287777439951353,0.712222560048647,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA,False,False,False
1,active,1,blue,13.5,13.0-13.5,56.0,286.6,5.117857142857143,142.8,1657.2,21.0,6.800000000000001,0.1729423123340574,0.0337919382090272,27.0,113.68,4.210370370370371,0.0685976345643253,0.0162925416364952,20.0,65.92,3.2960000000000003,0.0397779386917692,0.0120685493603668,81.0,1113.0,13.74074074074074,0.6716147719044171,0.0488776249094858,6.0,9.28,1.5466666666666666,0.0055998069032102,0.00362056480811,10.0,46.68,4.668,0.0281679942070963,0.0060342746801834,26.0,169.24,6.509230769230769,0.1021240646874245,0.0156891141684769,8.0,31.24,3.905,0.018851074100893,0.0048274197441467,11.0,49.08,4.461818181818182,0.0296162201303403,0.0066377021482017,7.0,33.08,4.725714285714285,0.0199613806420468,0.0042239922761284,6.0,12.4,2.066666666666667,0.0074825006034274,0.00362056480811,7.0,6.0,1.1666666666666667,0.0,0.0,0.0,0.0042239922761284,0.00362056480811,0.0,0.0,1.0,0.0,1.0,0.0,101.69832366430802,1633.0,0.0622769893841445,0.0308340655984227,1.905684437465552,0.052908240707759,0.985397055273956,3591.0,2277.6666666666665,0.0,0.6342708623410377,0.0,5434.0,2027.0,4537.0,7221.0,1311.0,0.0,842.0,966.0,4123.0,2027.0,3695.0,6255.0,0.2412587412587412,0.7587412587412588,0.0,1.0,0.1855851884505179,0.814414811549482,0.1337764852513502,0.8662235147486498,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA,False,False,False
1,active,1,blue,14.0,13.5-14.0,37.0,157.0,4.243243243243243,187.72,1612.28,21.0,8.939047619047619,0.0973776267149626,0.0229488674423797,30.0,112.28,3.7426666666666666,0.0696405090927134,0.0186071898181457,22.0,66.52,3.0236363636363635,0.0412583422234351,0.0136452725333068,75.0,1233.96,16.4528,0.7653509315999703,0.0465179745453643,3.0,5.04,1.68,0.0031260078894484,0.0018607189818145,9.0,27.92,3.102222222222222,0.0173170913240876,0.0055821569454437,17.0,133.68,7.863529411764707,0.0829136378296573,0.0105440742302825,11.0,30.72,2.7927272727272725,0.0190537623737812,0.0068226362666534,7.0,71.68,10.24,0.0444587788721562,0.004341677624234,20.0,94.0,4.7,0.0583025280968566,0.0124047932120971,1.0,2.52,2.52,0.0015630039447242,0.0006202396606048,3.4,4.0,0.85,0.0,0.0,0.0,0.0021088148460565,0.0024809586424194,0.0,0.0,1.0,0.0,1.0,0.0,90.1498263134556,1592.0,0.0566267753225223,0.0251735430040061,1.9124936046266576,0.0491201616337597,0.9874215396829334,4714.0,2489.666666666667,1342.0,0.5281431197850376,0.2846839202375901,4066.0,2578.0,4522.0,3962.0,1050.0,187.0,331.0,51.0,3016.0,2391.0,4191.0,3911.0,0.2582390555828824,0.7417609444171176,0.0725368502715283,0.9274631497284715,0.0731977001326846,0.9268022998673152,0.0128722867238768,0.9871277132761233,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA,False,False,False
1,active,1,blue,14.5,14.0-14.5,27.0,140.6,5.207407407407407,244.84,1555.16,17.0,14.40235294117647,0.0904087039275701,0.0173615576532318,17.0,50.0,2.9411764705882355,0.03215103269117,0.0109313511149978,20.0,73.08,3.654,0.0469919493814141,0.012860413076468,60.0,1256.8,20.946666666666665,0.8081483577252501,0.038581239229404,,,,,,11.0,46.84,4.258181818181819,0.030119087425088,0.0070732271920574,17.0,159.16,9.36235294117647,0.1023431672625324,0.0109313511149978,19.0,71.2,3.747368421052632,0.0457830705522261,0.0122173924226446,10.0,46.12,4.612,0.0296561125543352,0.006430206538234,20.0,97.52,4.8759999999999994,0.062707374160858,0.012860413076468,2.0,5.48,2.74,0.0035237531829522,0.0012860413076468,4.0,4.0,1.0,0.0,0.0,0.0,0.0025720826152936,0.0025720826152936,0.0,0.0,1.0,0.0,1.0,0.0,83.21430582975594,1536.0,0.054175980357914,0.0179126900280816,1.8476117769002272,0.0475347016474381,0.9876797242727436,6138.0,4808.0,0.0,0.7833170413815576,0.0,5178.0,2962.0,3114.0,3542.0,112.0,0.0,331.0,129.0,5066.0,2962.0,2783.0,3413.0,0.0216299729625337,0.9783700270374662,0.0,1.0,0.1062941554271034,0.8937058445728966,0.0364201016374929,0.963579898362507,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA,False,False,False
1,active,1,blue,15.0,14.5-15.0,31.0,122.8,3.9612903225806457,120.64,1679.36,16.0,7.54,0.0731230945121951,0.018459413109756,25.0,121.96,4.8784,0.0726229039634146,0.0148866234756097,16.0,61.12,3.82,0.0363948170731707,0.0095274390243902,61.0,1234.76,20.241967213114755,0.7352562881097562,0.0363233612804878,5.0,8.72,1.7440000000000002,0.0051924542682926,0.0029773246951219,15.0,186.0,12.4,0.1107564786585365,0.0089319740853658,8.0,123.84,15.48,0.0737423780487804,0.0047637195121951,14.0,73.6,5.257142857142857,0.0438262195121951,0.0083365091463414,5.0,11.68,2.336,0.0069550304878048,0.0029773246951219,24.0,118.44,4.935,0.0705268673780487,0.0142911585365853,1.0,2.16,2.16,0.0012862042682926,0.0005954649390243,6.6,7.0,0.9428571428571428,0.0,0.0,0.0,0.0039300685975609,0.0041682545731707,0.0,0.0,1.0,0.0,1.0,0.0,80.04233035992604,1666.0,0.0480446160623805,0.015039388400999,1.9347557218092055,0.0436739918771792,0.9920445884146342,3032.0,1807.6666666666663,147.0,0.5961961301671064,0.0484828496042216,7769.0,2151.0,4618.0,3101.0,3186.0,284.0,500.0,545.0,4583.0,1867.0,4118.0,2556.0,0.4100913888531342,0.5899086111468658,0.1320316132031613,0.8679683867968386,0.1082719792117799,0.89172802078822,0.1757497581425346,0.8242502418574653,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA,False,False,False
1,active,1,blue,15.5,15.0-15.5,21.0,76.96,3.664761904761904,205.04,1594.96,14.0,14.645714285714286,0.0482519937804082,0.0131664743943421,18.0,58.6,3.2555555555555555,0.0367407333099262,0.0112855494808647,10.0,36.72,3.672,0.023022520940964,0.0062697497115915,58.0,1425.12,24.57103448275862,0.8935145708983296,0.0363645483272307,,,,,,11.0,132.2,12.018181818181818,0.0828860911872398,0.0068967246827506,9.0,58.6,6.511111111111111,0.0367407333099262,0.0056427747404323,11.0,93.92,8.538181818181819,0.0588854892912674,0.0068967246827506,7.0,33.76,4.822857142857143,0.0211666750263329,0.004388824798114,34.0,265.0,7.794117647058823,0.1661483673571751,0.0213171490194111,3.0,6.8,2.2666666666666666,0.0042634298038822,0.0018809249134774,5.0,5.0,1.0,0.0,0.0,0.0,0.0031348748557957,0.0031348748557957,0.0,0.0,1.0,0.0,1.0,0.0,76.35219582771941,1584.0,0.0482021438306309,0.0105535265115314,1.9706310109941685,0.0432302728858264,0.9931283543160956,5140.0,4435.0,0.0,0.8628404669260701,0.0,4790.0,3210.0,2411.0,1945.0,575.0,167.0,242.0,121.0,4215.0,3043.0,2169.0,1824.0,0.1200417536534446,0.8799582463465553,0.05202492211838,0.94797507788162,0.1003732890916632,0.8996267109083368,0.062210796915167,0.9377892030848328,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA,False,False,False
1,active,1,blue,16.0,15.5-16.0,30.0,166.24,5.541333333333333,217.88,1582.12,10.0,21.788,0.1050742042322959,0.0189618992238262,13.0,55.84,4.295384615384616,0.0352944150886152,0.0082168229969913,11.0,55.28,5.025454545454545,0.0349404596364371,0.0069526963820696,50.0,1225.76,24.5152,0.7747579197532425,0.0316031653730437,1.0,2.4,2.4,0.0015169519379061,0.0006320633074608,8.0,172.04,21.505,0.1087401714155689,0.005056506459687,4.0,16.76,4.19,0.0105933810330442,0.0025282532298435,13.0,82.88,6.375384615384615,0.0523854069223573,0.0082168229969913,2.0,3.76,1.88,0.0023765580360528,0.0012641266149217,36.0,248.48,6.902222222222222,0.1570550906378783,0.0227542790685915,,,,,,,,,,,,,,,,,,,,64.13540567421256,1570.0,0.0408505768625557,0.0097324391180969,1.919142529552712,0.0373201283853198,0.9923393927135744,5457.0,5457.0,0.0,1.0,0.0,4732.0,2181.0,2802.0,4186.0,0.0,0.0,0.0,0.0,4732.0,2181.0,2802.0,4186.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA,False,False,False
1,active,1,blue,16.5,16.0-16.5,27.0,160.44,5.942222222222222,254.96,1545.04,27.0,9.442962962962964,0.1038419717288872,0.0174752757210169,15.0,46.4,3.0933333333333333,0.0300315849427846,0.009708486511676,18.0,51.44,2.8577777777777778,0.0332936364107078,0.0116501838140112,61.0,1293.04,21.19737704918033,0.8368974266038419,0.039481178480816,1.0,1.64,1.64,0.0010614611919432,0.0006472324341117,17.0,102.96,6.056470588235293,0.0666390514161445,0.0110029513798995,5.0,14.48,2.896,0.0093719256459379,0.0032361621705586,11.0,106.16,9.65090909090909,0.0687101952053021,0.0071195567752291,3.0,5.2,1.7333333333333334,0.003365608657381,0.0019416973023352,26.0,168.08,6.464615384615385,0.1087868275255009,0.0168280432869051,3.0,6.64,2.213333333333334,0.0042976233625019,0.0019416973023352,7.6,7.0,1.0857142857142856,0.0,0.0,0.0,0.0049189664992492,0.0045306270387821,0.0,0.0,1.0,0.0,1.0,0.0,87.75219783094916,1511.0,0.0580755776511907,0.0184075916642762,1.864507157112812,0.0498732804498439,0.9779682079428365,6401.0,4452.0,249.0,0.695516325574129,0.0389001718481487,2958.0,2798.0,2479.0,4038.0,185.0,60.0,314.0,1197.0,2773.0,2738.0,2165.0,2841.0,0.0625422582826234,0.9374577417173766,0.0214438884917798,0.9785561115082202,0.126663977410246,0.873336022589754,0.2964338781575037,0.7035661218424963,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA,False,False,False
1,active,1,blue,17.0,16.5-17.0,27.0,177.16,6.561481481481481,280.84,1519.16,24.0,11.701666666666666,0.1166170778588167,0.0177729798046288,19.0,72.08,3.793684210526316,0.0474472734932462,0.0125069117143684,12.0,35.16,2.9299999999999997,0.0231443692566944,0.0078991021353906,59.0,1320.84,22.38711864406779,0.8694541720424445,0.0388372521656705,2.0,2.68,1.34,0.0017641328102372,0.0013165170225651,18.0,176.76,9.82,0.1163537744543036,0.0118486532030859,6.0,65.16,10.86,0.042892124595171,0.0039495510676953,8.0,69.6,8.7,0.0458147923852655,0.0052660680902604,4.0,11.04,2.76,0.0072671739645593,0.0026330340451302,19.0,77.88,4.098947368421053,0.051265172858685,0.0125069117143684,2.0,6.92,3.46,0.0045551488980752,0.0013165170225651,4.8,6.0,0.7999999999999999,0.0,0.0,0.0,0.0031596408541562,0.0039495510676953,0.0,0.0,1.0,0.0,1.0,0.0,75.366546210345,1501.0,0.050210890213421,0.0142259555830402,1.951359789255387,0.0426842343679854,0.9880460254351088,7045.0,3215.3333333333335,798.0,0.4563993375916726,0.1132718239886444,6072.0,2028.0,2712.0,4456.0,856.0,147.0,108.0,313.0,5216.0,1881.0,2604.0,4143.0,0.1409749670619235,0.8590250329380764,0.0724852071005917,0.9275147928994084,0.0398230088495575,0.9601769911504424,0.0702423698384201,0.92975763016158,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA,False,False,False
