day,phase,box,mouse,time_bin,time_window,s_wall_count,s_wall_duration,s_wall_mean_duration,nest_duration,outside_nest_duration,nest_count,nest_mean_duration,s_wall_duration_fraction,s_wall_event_rate,ramp1_count,ramp1_duration,ramp1_mean_duration,ramp1_duration_fraction,ramp1_event_rate,ramp2_count,ramp2_duration,ramp2_mean_duration,ramp2_duration_fraction,ramp2_event_rate,non_wall_count,non_wall_duration,non_wall_mean_duration,non_wall_duration_fraction,non_wall_event_rate,woodstick_count,woodstick_duration,woodstick_mean_duration,woodstick_duration_fraction,woodstick_event_rate,feeder_prox_count,feeder_prox_duration,feeder_prox_mean_duration,feeder_prox_duration_fraction,feeder_prox_event_rate,feeder_dist_count,feeder_dist_duration,feeder_dist_mean_duration,feeder_dist_duration_fraction,feeder_dist_event_rate,water_prox_count,water_prox_duration,water_prox_mean_duration,water_prox_duration_fraction,water_prox_event_rate,water_dist_count,water_dist_duration,water_dist_mean_duration,water_dist_duration_fraction,water_dist_event_rate,motionless_count,motionless_duration,motionless_mean_duration,motionless_duration_fraction,motionless_event_rate,speeding_count,speeding_duration,speeding_mean_duration,speeding_duration_fraction,speeding_event_rate,chasing_duration,chasing_count,chasing_mean_duration,chased_duration,chased_count,chased_mean_duration,chasing_duration_fraction,chasing_event_rate,chased_duration_fraction,chased_event_rate,chasing_duration_ratio,chased_duration_ratio,chasing_event_ratio,chased_event_ratio,total_distance,valid_locomotion_duration,mean_speed,median_speed,mean_abs_angular_velocity,mean_abs_acceleration,valid_locomotion_duration_fraction,nest_frames,weighted_sum,alone_sum,weighted_co_occupancy,alone_fraction,feeding_frames,drinking_frames,ramps_frames,s_wall_frames,feeding_together_frames,drinking_together_frames,ramps_together_frames,s_wall_together_frames,feeding_alone_frames,drinking_alone_frames,ramps_alone_frames,s_wall_alone_frames,feeding_together_fraction,feeding_alone_fraction,drinking_together_fraction,drinking_alone_fraction,ramps_together_fraction,ramps_alone_fraction,s_wall_together_fraction,s_wall_alone_fraction,time_point,exp,sex,age,mouse_ID,background,treatment,condition
1,active,1,blue,13,12-13,19.0,97.92,5.153684210526316,2093.28,1506.7199999999998,12.0,174.44000000000003,0.064988849952214,0.012610173091218,13.0,46.4,3.569230769230769,0.0307953700753955,0.0086280131676754,10.0,50.4,5.04,0.0334501433577572,0.0066369332059042,46.0,3109.08,67.58869565217391,2.0634756291812684,0.0305298927471593,2.0,3.6,1.8,0.0023892959541255,0.0013273866411808,19.0,118.24,6.2231578947368416,0.0784750982266114,0.012610173091218,33.0,232.76,7.053333333333333,0.1544812573006265,0.0219018795794839,1.0,1.04,1.04,0.000690241053414,0.0006636933205904,6.0,11.48,1.913333333333333,0.007619199320378,0.0039821599235425,8.0,39.2,4.9,0.0260167781671445,0.0053095465647233,,,,,,,,,,,,,,,,,,,,60.17609346685052,1400.0,0.0429829239048932,0.0165076730040328,1.9334763151299896,0.0350869955632277,0.9291706488265904,52344.0,30861.66666666666,2398.0,0.5895932039329562,0.0458123185083295,8827.0,320.0,2443.0,2467.0,3252.0,0.0,42.0,169.0,5575.0,320.0,2401.0,2298.0,0.3684150900645746,0.6315849099354254,0.0,1.0,0.0171919770773638,0.982808022922636,0.068504256181597,0.9314957438184028,MDMA,female_P42,female,P42,1072271,ELA,MDMA,ELA_MDMA
1,active,1,blue,14,13-14,2.0,13.44,6.72,3035.48,564.52,10.0,303.548,0.0238078367462623,0.0035428328491461,3.0,15.64,5.213333333333334,0.0277049528803231,0.0053142492737192,3.0,13.0,4.333333333333333,0.0230284135194501,0.0053142492737192,14.0,3493.04,249.50285714285715,6.187628427690782,0.0247998299440232,1.0,1.04,1.04,0.001842273081556,0.001771416424573,4.0,43.68,10.92,0.0773754694253525,0.0070856656982923,22.0,119.8,5.445454545454545,0.212215687663856,0.0389711613406079,,,,,,,,,,,13.0,83.0,6.384615384615385,0.1470275632395663,0.0230284135194501,,,,,,,,,,,,,,,,,,,,18.85184228543067,557.0,0.033845318286231,0.0083816991164775,1.8922811624276972,0.0274958634724841,0.9866789484872104,75897.0,54905.99999999999,4357.0,0.7234278034704928,0.05740674861984,4113.0,0.0,722.0,338.0,1078.0,0.0,0.0,0.0,3035.0,0.0,722.0,338.0,0.262095793824459,0.737904206175541,0.0,0.0,0.0,1.0,0.0,1.0,MDMA,female_P42,female,P42,1072271,ELA,MDMA,ELA_MDMA
1,active,1,blue,15,14-15,14.0,50.04,3.5742857142857143,2493.6,1106.4,21.0,118.74285714285712,0.0452277657266811,0.0126536514822848,13.0,56.92,4.378461538461538,0.0514461315979754,0.0117498192335502,12.0,46.4,3.8666666666666663,0.041937816341287,0.0108459869848156,38.0,3301.72,86.88736842105263,2.984201012292118,0.0343456254519161,2.0,2.96,1.48,0.0026753434562545,0.0018076644974692,4.0,16.08,4.02,0.0145336225596529,0.0036153289949385,28.0,189.76,6.777142857142857,0.1715112075198842,0.0253073029645697,3.0,6.96,2.32,0.006290672451193,0.0027114967462039,2.0,3.84,1.92,0.0034707158351409,0.0018076644974692,14.0,50.16,3.5828571428571427,0.0453362255965292,0.0126536514822848,2.0,5.28,2.64,0.0047722342733188,0.0018076644974692,,,,,,,,,,,,,,,49.99002211326759,1085.0,0.0460737530997858,0.0139903680136009,1.945748741185023,0.043610229078719,0.9806579898770788,62361.0,54043.33333333333,3932.0,0.8666206977651629,0.0630522281554176,5178.0,275.0,2608.0,1265.0,1520.0,0.0,591.0,102.0,3658.0,275.0,2017.0,1163.0,0.2935496330629586,0.7064503669370413,0.0,1.0,0.2266104294478527,0.7733895705521472,0.0806324110671936,0.9193675889328063,MDMA,female_P42,female,P42,1072271,ELA,MDMA,ELA_MDMA
1,active,1,blue,16,15-16,18.0,112.96,6.275555555555555,1317.72,2282.2799999999997,19.0,69.35368421052631,0.0494943652838389,0.0078868499921131,10.0,42.84,4.284000000000001,0.0187707029812293,0.0043815833289517,17.0,87.16,5.127058823529412,0.0381898802951434,0.0074486916592179,48.0,2455.64,51.159166666666664,1.0759591285907075,0.0210315999789684,1.0,1.44,1.44,0.000630947999369,0.0004381583328951,4.0,8.48,2.12,0.003715582662951,0.0017526333315807,26.0,468.68,18.026153846153846,0.2053560474613106,0.0113921166552745,7.0,11.44,1.634285714285714,0.0050125313283208,0.0030671083302662,3.0,14.04,4.68,0.0061517429938482,0.0013144749986855,47.0,216.4,4.604255319148936,0.0948174632385158,0.0205934416460732,1.0,2.12,2.12,0.0009288956657377,0.0004381583328951,,,,,,,,,,,,,,,57.56303553195584,1567.0,0.0367345472443879,0.0088561848601989,1.9422013120963004,0.0358331992911903,0.6865941076467393,32962.0,23982.333333333332,837.0,0.7275751875897498,0.0253928766458345,11959.0,647.0,3277.0,2842.0,442.0,0.0,461.0,548.0,11517.0,647.0,2816.0,2294.0,0.0369596120076929,0.9630403879923072,0.0,1.0,0.1406774488861764,0.8593225511138236,0.1928219563687544,0.8071780436312456,MDMA,female_P42,female,P42,1072271,ELA,MDMA,ELA_MDMA
1,active,1,blue,17,16-17,17.0,70.68,4.15764705882353,2193.84,1406.16,23.0,95.38434782608697,0.0502645502645502,0.012089662627297,18.0,72.96,4.053333333333333,0.0518859873698583,0.0128008192524321,11.0,29.92,2.72,0.0212778062240427,0.0078227228764863,43.0,3223.44,74.96372093023255,2.2923707117255505,0.0305797348808101,,,,,,5.0,18.04,3.608,0.0128292655174375,0.0035557831256755,38.0,416.48,10.96,0.2961825112362746,0.0270239517551345,7.0,21.08,3.011428571428571,0.0149911816578483,0.0049780963759458,2.0,4.08,2.04,0.0029015190305512,0.0014223132502702,27.0,127.12,4.708148148148148,0.0904022301871764,0.0192012288786482,,,,,,,,,,,,,,,,,,,,51.12587776956701,1278.0,0.0400045991937144,0.0081699643870546,2.110363619345547,0.0401502745155032,0.908858166922683,54869.0,43661.333333333336,3991.0,0.7957377268281423,0.0727368823926078,10906.0,638.0,2601.0,1784.0,739.0,0.0,440.0,530.0,10167.0,638.0,2161.0,1254.0,0.0677608655785806,0.9322391344214194,0.0,1.0,0.1691657054978854,0.8308342945021145,0.297085201793722,0.702914798206278,MDMA,female_P42,female,P42,1072271,ELA,MDMA,ELA_MDMA
1,active,1,blue,18,17-18,38.0,174.12,4.582105263157895,547.64,3052.36,29.0,18.88413793103448,0.057044385328074,0.0124493834279049,31.0,172.44,5.56258064516129,0.0564939915344192,0.0101560759543435,45.0,238.96,5.310222222222222,0.0782869648403202,0.0147426909014664,115.0,2599.04,22.600347826086956,0.851485408012161,0.0376757656370808,6.0,11.16,1.86,0.0036561873435636,0.0019656921201955,11.0,48.24,4.385454545454546,0.0158041646463719,0.0036037688870251,15.0,426.48,28.432,0.1397213959034976,0.0049142303004888,5.0,28.28,5.656000000000001,0.0092649621931882,0.0016380767668296,3.0,13.44,4.4799999999999995,0.0044031503492379,0.0009828460600977,56.0,264.36,4.720714285714286,0.0866083948158146,0.0183464597884915,2.0,4.24,2.12,0.0013890890982715,0.0006552307067318,1.6,2.0,0.8,2.4,3.0,0.7999999999999999,0.0005241845653854,0.0006552307067318,0.0007862768480782,0.0009828460600977,0.4,0.6,0.4,0.6,128.4249983212348,3023.0,0.0424826325905507,0.0106611225776879,1.977469501680218,0.041346178664311,0.9903812132251766,13720.0,1682.333333333333,9194.0,0.1226190476190476,0.6701166180758017,11894.0,1051.0,10361.0,4391.0,2900.0,91.0,2043.0,849.0,8994.0,960.0,8318.0,3542.0,0.2438204136539431,0.7561795863460569,0.0865842055185537,0.9134157944814464,0.1971817392143615,0.8028182607856384,0.1933500341607834,0.8066499658392166,MDMA,female_P42,female,P42,1072271,ELA,MDMA,ELA_MDMA
1,active,1,blue,19,18-19,38.0,290.44,7.643157894736842,706.92,2893.08,51.0,13.861176470588234,0.100391278499039,0.0131347906037855,23.0,95.24,4.1408695652173915,0.0329199330816983,0.0079500048391333,32.0,122.92,3.84125,0.0424875910794032,0.0110608762979247,100.0,2532.72,25.3272,0.8754407067899954,0.0345652384310147,4.0,9.48,2.37,0.0032767846032601,0.0013826095372405,24.0,358.08,14.92,0.1237712057737774,0.0082956572234435,10.0,32.8,3.28,0.0113373982053728,0.0034565238431014,11.0,15.56,1.4145454545454546,0.0053783510998658,0.0038021762274116,2.0,10.88,5.44,0.0037606979412943,0.0006913047686202,38.0,211.6,5.568421052631579,0.073140044520027,0.0131347906037855,,,,,,1.6,2.0,0.8,0.0,0.0,0.0,0.0005530438148962,0.0006913047686202,0.0,0.0,1.0,0.0,1.0,0.0,122.75555078346974,2845.0,0.0431478210135218,0.0110194158907277,1.9730623612385576,0.0393888850285614,0.9833810333623682,17724.0,4513.666666666666,7678.0,0.2546641089295117,0.4331979237192507,9806.0,674.0,5509.0,7299.0,4083.0,0.0,804.0,1948.0,5723.0,674.0,4705.0,5351.0,0.4163777279216806,0.5836222720783194,0.0,1.0,0.1459430023597749,0.8540569976402251,0.2668858747773667,0.7331141252226332,MDMA,female_P42,female,P42,1072271,ELA,MDMA,ELA_MDMA
1,active,1,blue,20,19-20,8.0,35.64,4.455,2059.64,1540.36,37.0,55.66594594594594,0.0231374483886883,0.005193591108572,4.0,22.24,5.56,0.0144381832818302,0.002596795554286,5.0,20.72,4.144,0.0134514009712015,0.0032459944428575,21.0,2409.16,114.72190476190475,1.5640239943909215,0.0136331766600015,,,,,,,,,,,1.0,3.28,3.28,0.0021293723545145,0.0006491988885715,,,,,,2.0,8.36,4.18,0.0054273027084577,0.001298397777143,,,,,,,,,,,,,,,,,,,,,,,,,30.787719654482068,534.0,0.0576549057200038,0.0274735571328711,1.8190951328676677,0.0495370059917886,0.3466722064971825,51528.0,32046.999999999993,0.0,0.6219337059462815,0.0,83.0,211.0,1083.0,899.0,0.0,0.0,222.0,45.0,83.0,211.0,861.0,854.0,0.0,1.0,0.0,1.0,0.2049861495844875,0.7950138504155124,0.050055617352614,0.949944382647386,MDMA,female_P42,female,P42,1072271,ELA,MDMA,ELA_MDMA
1,active,1,blue,21,20-21,,,,3495.0,105.0,1.0,3495.0,,,,,,,,,,,,,1.0,3498.0,3498.0,33.31428571428572,0.0095238095238095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,87376.0,87034.33333333333,0.0,0.9960896966367576,0.0,,,,,,,,,,,,,,,,,,,,,MDMA,female_P42,female,P42,1072271,ELA,MDMA,ELA_MDMA
1,active,1,blue,22,21-22,1.0,4.76,4.76,3558.08,41.92000000000007,6.0,593.0133333333333,0.1135496183206104,0.023854961832061,1.0,2.48,2.48,0.0591603053435113,0.023854961832061,2.0,4.72,2.36,0.112595419847328,0.047709923664122,4.0,3581.64,895.41,85.43988549618305,0.0954198473282441,,,,,,,,,,,1.0,2.92,2.92,0.0696564885496182,0.023854961832061,,,,,,,,,,,,,,,,1.0,2.12,2.12,0.0505725190839693,0.023854961832061,,,,,,,,,,,,,,,3.508920665925689,39.0,0.0899723247673253,0.0265086118512877,1.3087203514463748,0.1139644884450303,0.93034351145038,88958.0,63497.333333333336,937.0,0.7137900282530333,0.0105330605454259,74.0,0.0,183.0,120.0,0.0,0.0,0.0,39.0,74.0,0.0,183.0,81.0,0.0,1.0,0.0,0.0,0.0,1.0,0.325,0.675,MDMA,female_P42,female,P42,1072271,ELA,MDMA,ELA_MDMA
