day,phase,box,mouse,time_bin,time_window,s_wall_count,s_wall_duration,s_wall_mean_duration,nest_duration,outside_nest_duration,nest_count,nest_mean_duration,s_wall_duration_fraction,s_wall_event_rate,ramp1_count,ramp1_duration,ramp1_mean_duration,ramp1_duration_fraction,ramp1_event_rate,ramp2_count,ramp2_duration,ramp2_mean_duration,ramp2_duration_fraction,ramp2_event_rate,non_wall_count,non_wall_duration,non_wall_mean_duration,non_wall_duration_fraction,non_wall_event_rate,woodstick_count,woodstick_duration,woodstick_mean_duration,woodstick_duration_fraction,woodstick_event_rate,feeder_prox_count,feeder_prox_duration,feeder_prox_mean_duration,feeder_prox_duration_fraction,feeder_prox_event_rate,feeder_dist_count,feeder_dist_duration,feeder_dist_mean_duration,feeder_dist_duration_fraction,feeder_dist_event_rate,water_prox_count,water_prox_duration,water_prox_mean_duration,water_prox_duration_fraction,water_prox_event_rate,water_dist_count,water_dist_duration,water_dist_mean_duration,water_dist_duration_fraction,water_dist_event_rate,motionless_count,motionless_duration,motionless_mean_duration,motionless_duration_fraction,motionless_event_rate,speeding_count,speeding_duration,speeding_mean_duration,speeding_duration_fraction,speeding_event_rate,chasing_duration,chasing_count,chasing_mean_duration,chased_duration,chased_count,chased_mean_duration,chasing_duration_fraction,chasing_event_rate,chased_duration_fraction,chased_event_rate,chasing_duration_ratio,chased_duration_ratio,chasing_event_ratio,chased_event_ratio,total_distance,valid_locomotion_duration,mean_speed,median_speed,mean_abs_angular_velocity,mean_abs_acceleration,valid_locomotion_duration_fraction,nest_frames,weighted_sum,alone_sum,weighted_co_occupancy,alone_fraction,feeding_frames,drinking_frames,ramps_frames,s_wall_frames,feeding_together_frames,drinking_together_frames,ramps_together_frames,s_wall_together_frames,feeding_alone_frames,drinking_alone_frames,ramps_alone_frames,s_wall_alone_frames,feeding_together_fraction,feeding_alone_fraction,drinking_together_fraction,drinking_alone_fraction,ramps_together_fraction,ramps_alone_fraction,s_wall_together_fraction,s_wall_alone_fraction,time_point,exp,sex,age,mouse_ID,background,treatment,condition
1,active,1,blue,15,12-15,195.0,1034.68,5.306051282051282,829.48,9970.52,92.0,9.01608695652174,0.1037739255324697,0.0195576559697989,128.0,510.4,3.9875,0.0511909108050532,0.0128378459699193,102.0,373.6,3.662745098039216,0.037470462924702,0.0102301585072794,358.0,6102.68,17.04659217877095,0.6120723894039629,0.0359058504471181,21.0,39.88,1.899047619047619,0.0039997913850029,0.0021062091044398,71.0,407.04,5.732957746478873,0.0408243501843434,0.0071209926864396,78.0,635.6,8.148717948717948,0.0637479288943806,0.0078230623879195,58.0,219.84,3.790344827586207,0.0220490004533364,0.0058171489551196,38.0,202.24,5.322105263157895,0.0202837966324725,0.0038112355223197,73.0,351.76,4.818630136986301,0.0352800054560845,0.0073215840297196,11.0,25.12,2.2836363636363637,0.0025194272715966,0.0011032523880399,28.6,28.0,1.0214285714285716,0.0,0.0,0.0,0.0028684562089038,0.0028082788059198,0.0,0.0,1.0,0.0,1.0,0.0,466.3295230915354,8310.0,0.0561166694454314,0.0243047647851641,1.8810995005013305,0.0484113821513208,0.8334570313283559,20829.0,12530.999999999998,2768.0,0.6016131355321906,0.132891641461424,26215.0,10648.0,22330.0,26062.0,6621.0,471.0,2840.0,4339.0,19594.0,10177.0,19490.0,21723.0,0.2525653251954987,0.7474346748045012,0.0442336589030803,0.9557663410969196,0.1271831616659202,0.8728168383340797,0.1664876064768628,0.8335123935231371,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,active,1,blue,18,15-18,123.0,638.64,5.19219512195122,3477.16,7322.84,87.0,39.96735632183908,0.0872120652642963,0.016796761912045,75.0,261.68,3.4890666666666665,0.035734769570276,0.0102419279951494,66.0,241.2,3.6545454545454543,0.0329380404324005,0.0090128966357314,263.0,8631.52,32.81946768060837,1.178712084382562,0.0359150275029906,6.0,10.28,1.7133333333333332,0.0014038269305351,0.0008193542396119,78.0,782.32,10.02974358974359,0.1068328681222039,0.0106516051149553,32.0,177.32,5.54125,0.0242146489613319,0.0043698892779304,51.0,410.24,8.043921568627452,0.0560219805430679,0.0069645110367016,19.0,65.76,3.461052631578948,0.008980122466147,0.0025946217587711,120.0,780.44,6.503666666666667,0.1065761371271255,0.016387084792239,11.0,27.84,2.5309090909090908,0.0038018036717994,0.0015021494392885,23.8,24.0,0.9916666666666668,0.0,0.0,0.0,0.0032501051504607,0.0032774169584478,0.0,0.0,1.0,0.0,1.0,0.0,368.94365086872074,7235.0,0.0509942848470933,0.0140782673464522,1.92975680406624,0.0440761526873498,0.9880046539320808,87016.0,40673.99999999999,8043.0,0.4674312770065275,0.0924312770065275,24101.0,11970.0,12713.0,16089.0,1870.0,716.0,1178.0,1881.0,22231.0,11254.0,11535.0,14208.0,0.077590141487905,0.9224098585120948,0.0598162071846282,0.9401837928153718,0.0926610556123652,0.9073389443876348,0.1169121760208838,0.8830878239791161,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,active,1,blue,21,18-21,96.0,284.68,2.9654166666666666,4821.12,5978.88,85.0,56.71905882352941,0.0476142688931706,0.0160565189466923,49.0,177.56,3.623673469387755,0.029697869835153,0.0081955148790408,31.0,110.8,3.574193548387097,0.018531898950974,0.005184917576536,221.0,9233.16,41.77900452488688,1.5442959216441874,0.0369634446585313,6.0,9.2,1.5333333333333332,0.0015387497323913,0.0010035324341682,88.0,878.28,9.980454545454544,0.1468970777135517,0.0147184757011346,24.0,385.24,16.051666666666666,0.0644334724898308,0.004014129736673,52.0,238.6,4.588461538461538,0.0399071397987583,0.008697281096125,18.0,42.36,2.3533333333333335,0.007084938985228,0.0030105973025048,130.0,558.4,4.295384615384616,0.0933954185399272,0.0217432027403125,12.0,30.4,2.533333333333333,0.0050845643331192,0.0020070648683365,25.6,22.0,1.1636363636363638,0.0,0.0,0.0,0.0042817383857846,0.0036796189252836,0.0,0.0,1.0,0.0,1.0,0.0,292.9269799875254,5894.0,0.0496991822170894,0.0110019537729942,1.8979413176770032,0.0396054165795421,0.9858033611646329,120613.0,86510.33333333331,11269.0,0.7172554644468947,0.0934310563537927,31700.0,7094.0,7289.0,7213.0,4375.0,21.0,266.0,432.0,27325.0,7073.0,7023.0,6781.0,0.1380126182965299,0.86198738170347,0.0029602480969833,0.9970397519030166,0.0364933461380161,0.963506653861984,0.059891861915985,0.9401081380840148,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,active,1,blue,24,21-24,93.0,474.12,5.098064516129032,3736.16,7063.84,91.0,41.0567032967033,0.0671193005504088,0.0131656436159369,32.0,118.76,3.71125,0.016812385331491,0.0045301139323653,31.0,121.2,3.9096774193548383,0.0171578065188339,0.0043885478719789,230.0,9030.36,39.2624347826087,1.2783924890711005,0.0325601938888763,4.0,6.6,1.65,0.0009343359985503,0.0005662642415456,76.0,631.64,8.311052631578947,0.0894187863824775,0.0107590205893678,12.0,162.2,13.516666666666666,0.0229620149946771,0.001698792724637,44.0,294.52,6.693636363636363,0.041694036105008,0.0062289066570024,17.0,57.84,3.4023529411764706,0.0081881809327504,0.0024066230265691,124.0,667.64,5.384193548387096,0.0945151645563885,0.0175541914879159,20.0,47.36,2.368,0.0067045686199007,0.0028313212077283,23.6,21.0,1.1238095238095238,0.0,0.0,0.0,0.0033409590251194,0.0029728872681147,0.0,0.0,1.0,0.0,1.0,0.0,302.2484526597259,6966.0,0.0433890974245945,0.0090254704369196,1.882125414327491,0.036247656486121,0.9861491766517928,93495.0,70400.66666666666,6274.0,0.7529885733639944,0.0671051927910583,19934.0,8870.0,6062.0,11946.0,2578.0,309.0,654.0,681.0,17356.0,8561.0,5408.0,11265.0,0.1293267783686164,0.8706732216313836,0.034836527621195,0.965163472378805,0.1078851864071263,0.8921148135928736,0.0570065293822199,0.94299347061778,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,active,1,green,15,12-15,59.0,518.0,8.779661016949152,4268.68,6531.32,211.0,20.230710900473937,0.0793101547619776,0.0090333960057078,31.0,212.56,6.856774193548387,0.0325447229656486,0.0047463606131685,28.0,243.28,8.688571428571429,0.0372482132248917,0.0042870353925393,118.0,7984.0,67.66101694915254,1.2224175205012158,0.0180667920114157,5.0,14.64,2.928,0.0022415070766705,0.000765542034382,79.0,687.36,8.700759493670887,0.1052405945505655,0.0120955641432359,48.0,265.6,5.533333333333334,0.0406655928663731,0.0073492035300674,24.0,127.0,5.291666666666667,0.0194447676733034,0.0036746017650337,11.0,33.36,3.0327272727272727,0.0051076964533968,0.0016841924756404,43.0,189.72,4.412093023255814,0.0290477269525915,0.0065836614956854,2.0,7.12,3.56,0.00109013185696,0.0003062168137528,1.6,2.0,0.8,12.8,13.0,0.9846153846153848,0.0002449734510022,0.0003062168137528,0.0019597876080179,0.0019904092893932,0.1111111111111111,0.888888888888889,0.1333333333333333,0.8666666666666667,241.45573034347757,4789.0,0.0504188202847102,0.0149545742737985,2.03646943912009,0.0447857071617098,0.7332361605311025,106928.0,52966.33333333333,10716.0,0.4953457778442814,0.1002169684273529,23951.0,4044.0,11455.0,13009.0,8352.0,601.0,2114.0,3145.0,15599.0,3443.0,9341.0,9864.0,0.3487119535718759,0.6512880464281241,0.1486152324431256,0.8513847675568744,0.1845482322130074,0.8154517677869926,0.2417557075870551,0.7582442924129449,baseline,male_P35,male,P35,1072240,ELA,MDMA,ELA_MDMA
1,active,1,green,18,15-18,23.0,118.16,5.137391304347826,8393.8,2406.2000000000007,353.0,23.778470254957504,0.0491064749397389,0.0095586401795361,6.0,36.92,6.153333333333333,0.015343695453412,0.002493558307705,11.0,67.56,6.141818181818182,0.0280774665447593,0.004571523564126,36.0,10490.48,291.40222222222224,4.35977059263569,0.0149613498462305,,,,,,46.0,370.52,8.054782608695652,0.1539855373618152,0.0191172803590723,13.0,106.84,8.218461538461538,0.044401961599202,0.0054027096666943,17.0,116.52,6.854117647058823,0.0484249023356329,0.0070650818718311,4.0,9.0,2.25,0.0037403374615576,0.0016623722051367,24.0,107.64,4.485,0.0447344360402293,0.0099742332308203,,,,,,0.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,0.002493558307705,0.002493558307705,0.0,1.0,0.0,1.0,98.88935634874412,2154.0,0.0459096361879034,0.0110175403219087,1.904348559049709,0.0410114753030185,0.8951874324661289,210198.0,104799.0,18229.0,0.4985727742414294,0.0867229945099382,11993.0,3159.0,2629.0,2977.0,2991.0,510.0,350.0,563.0,9002.0,2649.0,2279.0,2414.0,0.2493954806970733,0.7506045193029267,0.1614434947768281,0.8385565052231719,0.1331304678585013,0.8668695321414986,0.1891165602955996,0.8108834397044004,baseline,male_P35,male,P35,1072240,ELA,MDMA,ELA_MDMA
1,active,1,green,21,18-21,28.0,170.2,6.078571428571428,7998.0,2802.0,186.0,43.0,0.0607423269093504,0.0099928622412562,11.0,57.6,5.236363636363636,0.0205567451820128,0.0039257673090649,10.0,57.92,5.792,0.0206709493219129,0.0035688793718772,45.0,10358.92,230.19822222222223,3.696973590292648,0.0160599571734475,,,,,,51.0,1047.36,20.536470588235293,0.3737901498929336,0.0182012847965738,4.0,62.48,15.62,0.0222983583154889,0.0014275517487508,20.0,207.8,10.39,0.0741613133476088,0.0071377587437544,3.0,11.6,3.8666666666666663,0.0041399000713775,0.0010706638115631,31.0,172.68,5.570322580645161,0.061627408993576,0.0110635260528194,,,,,,0.0,0.0,0.0,5.2,4.0,1.3,0.0,0.0,0.0018558172733761,0.0014275517487508,0.0,1.0,0.0,1.0,68.19384750905648,2658.0,0.0256560750598406,0.0051664655482537,1.9886721777015568,0.0224248847209353,0.9486081370449678,200136.0,142620.66666666666,4072.0,0.7126187525815778,0.0203461646080665,27801.0,5508.0,2909.0,4283.0,4548.0,67.0,283.0,390.0,23253.0,5441.0,2626.0,3893.0,0.1635912377252616,0.8364087622747384,0.0121641249092229,0.9878358750907772,0.0972842901340666,0.9027157098659332,0.0910576698575764,0.9089423301424236,baseline,male_P35,male,P35,1072240,ELA,MDMA,ELA_MDMA
1,active,1,green,24,21-24,29.0,233.32,8.04551724137931,8302.76,2497.24,195.0,42.57825641025641,0.093431147987378,0.0116128205538914,15.0,58.56,3.904,0.0234498886770995,0.0060066313209783,12.0,67.04,5.586666666666667,0.0268456375838926,0.0048053050567826,50.0,10266.44,205.3288,4.111114670596339,0.0200221044032612,,,,,,67.0,748.4,11.170149253731344,0.2996908587080136,0.02682961990037,4.0,49.52,12.38,0.0198298922009898,0.0016017683522608,14.0,93.16,6.654285714285714,0.0373051849241562,0.0056061892329131,1.0,4.64,4.64,0.0018580512886226,0.0004004420880652,35.0,145.44,4.155428571428572,0.0582402972882061,0.0140154730822828,2.0,4.64,2.32,0.0018580512886226,0.0008008841761304,0.0,0.0,0.0,6.0,5.0,1.2,0.0,0.0,0.0024026525283913,0.0020022104403261,0.0,1.0,0.0,1.0,78.76364982956738,2361.0,0.0333602921768603,0.006739734338983,2.0212496913829527,0.0294728786643033,0.945443769921994,207764.0,135448.3333333333,5514.0,0.6519336041534304,0.0265397277680445,20019.0,2460.0,3167.0,5862.0,3433.0,210.0,285.0,1107.0,16586.0,2250.0,2882.0,4755.0,0.1714870872670962,0.8285129127329037,0.0853658536585365,0.9146341463414634,0.0899905273129144,0.9100094726870857,0.1888433981576253,0.8111566018423746,baseline,male_P35,male,P35,1072240,ELA,MDMA,ELA_MDMA
1,active,1,red,15,12-15,38.0,354.52,9.329473684210528,5395.48,5404.52,71.0,75.99267605633803,0.0655969447795548,0.0070311517026488,31.0,199.84,6.446451612903226,0.0369764567436146,0.0057359395468977,19.0,128.88,6.783157894736842,0.0238467060904576,0.0035155758513244,112.0,8259.56,73.74607142857143,1.5282689304508077,0.0207233944920177,4.0,8.0,2.0,0.0014802424637155,0.0007401212318577,70.0,642.16,9.173714285714285,0.1188190625624477,0.0129521215575111,42.0,441.08,10.50190476190476,0.0816131682369572,0.0077712729345066,16.0,49.64,3.1025,0.009184904487355,0.0029604849274311,22.0,67.04,3.0472727272727274,0.0124044318459363,0.0040706667752177,66.0,288.68,4.373939393939394,0.0534145493031758,0.0122120003256533,2.0,4.64,2.32,0.000858540628955,0.0003700606159288,0.8,1.0,0.8,10.0,11.0,0.9090909090909092,0.0001480242463715,0.0001850303079644,0.0018503030796444,0.0020353333876088,0.074074074074074,0.9259259259259258,0.0833333333333333,0.9166666666666666,147.18829936844742,3764.0,0.0391042240617554,0.014172179334275,1.9627149146592635,0.0353968801314293,0.6964540791781694,134958.0,52248.66666666666,37459.0,0.3871476064158231,0.2775604262066717,27193.0,2955.0,8268.0,8901.0,8812.0,244.0,1123.0,1979.0,18381.0,2711.0,7145.0,6922.0,0.3240539844813003,0.6759460155186997,0.0825719120135363,0.9174280879864636,0.1358248669569424,0.8641751330430576,0.2223345691495337,0.7776654308504662,baseline,male_P35,male,P35,1072442,CTRL,MDMA,CTRL_MDMA
1,active,1,red,18,15-18,47.0,552.28,11.75063829787234,5904.88,4895.12,119.0,49.62084033613446,0.1128225661475101,0.0096013989442546,24.0,130.44,5.435,0.0266469463465655,0.0049028420140874,28.0,209.84,7.494285714285715,0.0428671820098383,0.0057199823497687,107.0,9483.6,88.63177570093458,1.9373580218666755,0.0218585039794734,7.0,17.24,2.462857142857142,0.0035218748467861,0.0014299955874421,91.0,1021.72,11.227692307692308,0.2087221559430616,0.0185899426367484,29.0,225.28,7.768275862068966,0.0460213437055679,0.005924267433689,34.0,425.4,12.511764705882351,0.0869028746997009,0.0069456928532906,20.0,86.04,4.3020000000000005,0.0175766886205036,0.0040857016784062,67.0,297.16,4.4352238805970154,0.06070535553776,0.0136871006226609,7.0,16.12,2.302857142857143,0.0032930755527954,0.0014299955874421,1.0,1.0,1.0,2.6,2.0,1.3,0.0002042850839203,0.0002042850839203,0.0005311412181928,0.0004085701678406,0.2777777777777778,0.7222222222222222,0.3333333333333333,0.6666666666666666,151.4419971217201,4765.0,0.0317821609909171,0.0088717398273168,1.991779854132596,0.028537060232381,0.973418424880289,147741.0,82885.66666666666,14997.0,0.5610200734167675,0.101508721343432,31295.0,12840.0,8559.0,13854.0,3385.0,452.0,544.0,2105.0,27910.0,12388.0,8015.0,11749.0,0.1081642434893753,0.8918357565106247,0.035202492211838,0.964797507788162,0.063558826965767,0.936441173034233,0.1519416774938645,0.8480583225061354,baseline,male_P35,male,P35,1072442,CTRL,MDMA,CTRL_MDMA
