day,phase,box,mouse,time_bin,time_window,s_wall_count,s_wall_duration,s_wall_mean_duration,nest_duration,outside_nest_duration,nest_count,nest_mean_duration,s_wall_duration_fraction,s_wall_event_rate,ramp1_count,ramp1_duration,ramp1_mean_duration,ramp1_duration_fraction,ramp1_event_rate,ramp2_count,ramp2_duration,ramp2_mean_duration,ramp2_duration_fraction,ramp2_event_rate,non_wall_count,non_wall_duration,non_wall_mean_duration,non_wall_duration_fraction,non_wall_event_rate,woodstick_count,woodstick_duration,woodstick_mean_duration,woodstick_duration_fraction,woodstick_event_rate,feeder_prox_count,feeder_prox_duration,feeder_prox_mean_duration,feeder_prox_duration_fraction,feeder_prox_event_rate,feeder_dist_count,feeder_dist_duration,feeder_dist_mean_duration,feeder_dist_duration_fraction,feeder_dist_event_rate,water_prox_count,water_prox_duration,water_prox_mean_duration,water_prox_duration_fraction,water_prox_event_rate,water_dist_count,water_dist_duration,water_dist_mean_duration,water_dist_duration_fraction,water_dist_event_rate,motionless_count,motionless_duration,motionless_mean_duration,motionless_duration_fraction,motionless_event_rate,speeding_count,speeding_duration,speeding_mean_duration,speeding_duration_fraction,speeding_event_rate,chasing_duration,chasing_count,chasing_mean_duration,chased_duration,chased_count,chased_mean_duration,chasing_duration_fraction,chasing_event_rate,chased_duration_fraction,chased_event_rate,chasing_duration_ratio,chased_duration_ratio,chasing_event_ratio,chased_event_ratio,total_distance,valid_locomotion_duration,mean_speed,median_speed,mean_abs_angular_velocity,mean_abs_acceleration,valid_locomotion_duration_fraction,nest_frames,weighted_sum,alone_sum,weighted_co_occupancy,alone_fraction,feeding_frames,drinking_frames,ramps_frames,s_wall_frames,feeding_together_frames,drinking_together_frames,ramps_together_frames,s_wall_together_frames,feeding_alone_frames,drinking_alone_frames,ramps_alone_frames,s_wall_alone_frames,feeding_together_fraction,feeding_alone_fraction,drinking_together_fraction,drinking_alone_fraction,ramps_together_fraction,ramps_alone_fraction,s_wall_together_fraction,s_wall_alone_fraction,time_point,exp,sex,age,mouse_ID,background,treatment,condition
1,inactive,1,blue,1,0-1,15.0,217.68,14.512,1253.04,2346.96,60.0,20.884,0.0927497699151242,0.0063912465487268,13.0,61.2,4.707692307692308,0.0260762859188056,0.0055390803422299,5.0,45.24,9.048,0.0192759995909602,0.0021304155162422,55.0,3011.04,54.74618181818182,1.2829532672052355,0.0234345706786651,,,,,,31.0,437.2,14.103225806451611,0.1862835327402256,0.0132085762007021,7.0,35.2,5.028571428571429,0.0149981252343457,0.0029825817227392,11.0,83.92,7.629090909090909,0.0357568940246105,0.004686914135733,6.0,21.56,3.5933333333333333,0.0091863517060367,0.0025564986194907,49.0,198.28,4.046530612244898,0.0844837577121041,0.0208780720591744,5.0,13.32,2.664,0.0056754269352694,0.0021304155162422,4.2,4.0,1.05,0.0,0.0,0.0,0.0017895490336435,0.0017043324129938,0.0,0.0,1.0,0.0,1.0,0.0,70.14550843296958,2281.0,0.0307520861170405,0.0051809109154427,2.0176451917266913,0.0271940262078351,0.9718955585097316,31386.0,24953.666666666668,109.0,0.7950572442065464,0.0034728860001274,11848.0,2654.0,2679.0,5457.0,4487.0,47.0,0.0,0.0,7361.0,2607.0,2679.0,5457.0,0.3787137069547603,0.6212862930452397,0.0177091183119819,0.982290881688018,0.0,1.0,0.0,1.0,MDMA,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,inactive,1,blue,2,1-2,12.0,132.76,11.063333333333333,1743.04,1856.96,32.0,54.47,0.0714931931759434,0.0064621747372048,9.0,38.64,4.293333333333333,0.0208082026537997,0.0048466310529036,5.0,12.08,2.416,0.0065052559021195,0.0026925728071687,39.0,3180.44,81.54974358974358,1.7127132517663275,0.0210020678959159,,,,,,12.0,538.16,44.846666666666664,0.2898069963811821,0.0064621747372048,2.0,23.48,11.74,0.0126443219024642,0.0010770291228674,5.0,45.52,9.104,0.0245131828364639,0.0026925728071687,1.0,1.08,1.08,0.0005815957263484,0.0005385145614337,16.0,60.0,3.75,0.0323108736860244,0.0086162329829398,7.0,15.68,2.24,0.008443908323281,0.0037696019300361,1.0,1.0,1.0,0.0,0.0,0.0,0.0005385145614337,0.0005385145614337,0.0,0.0,1.0,0.0,1.0,0.0,47.23088308050221,1823.0,0.0259083286234241,0.0045178931467828,2.0134859421040203,0.0242743833255631,0.9817120454937102,43608.0,42438.0,0.0,0.9731700605393506,0.0,14055.0,1171.0,1282.0,3331.0,1106.0,0.0,0.0,0.0,12949.0,1171.0,1282.0,3331.0,0.0786908573461401,0.92130914265386,0.0,1.0,0.0,1.0,0.0,1.0,MDMA,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,inactive,1,blue,3,2-3,,,,3600.0,0.0,1.0,3600.0,,,,,,,,,,,,,1.0,3600.0,3600.0,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90001.0,89998.33333333333,0.0,0.9999703706995848,0.0,,,,,,,,,,,,,,,,,,,,,MDMA,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,inactive,1,blue,4,3-4,17.0,74.56,4.385882352941176,1251.6,2348.4,58.0,21.579310344827583,0.0317492761028785,0.0072389712144438,7.0,14.32,2.045714285714286,0.0060977686935786,0.0029807528530063,4.0,33.4,8.35,0.0142224493272014,0.001703287344575,70.0,2849.16,40.702285714285715,1.213234542667348,0.029807528530063,,,,,,19.0,205.76,10.829473684210528,0.0876171010049395,0.0080906148867313,8.0,60.16,7.52,0.0256174416624084,0.00340657468915,5.0,21.24,4.247999999999999,0.0090444557996934,0.0021291091807187,4.0,37.88,9.47,0.0161301311531255,0.001703287344575,34.0,181.72,5.344705882352941,0.0773803440640436,0.0144779424288877,13.0,32.92,2.5323076923076924,0.0140180548458524,0.0055356838698688,5.6,6.0,0.9333333333333332,0.0,0.0,0.0,0.002384602282405,0.0025549310168625,0.0,0.0,1.0,0.0,1.0,0.0,78.46196131091095,2289.0,0.0342778336875976,0.0057363015338659,1.9481737744679648,0.0298589252861257,0.9747061829330608,31348.0,27193.666666666664,0.0,0.8674769256943557,0.0,6675.0,1487.0,1204.0,1881.0,1675.0,0.0,0.0,0.0,5000.0,1487.0,1204.0,1881.0,0.250936329588015,0.7490636704119851,0.0,1.0,0.0,1.0,0.0,1.0,MDMA,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,inactive,1,blue,5,4-5,5.0,49.2,9.84,3049.08,550.9200000000001,5.0,609.816,0.0893051622740143,0.0090757278733754,1.0,2.04,2.04,0.0037028969723371,0.001815145574675,1.0,5.04,5.04,0.0091483336963624,0.001815145574675,18.0,3289.76,182.76444444444445,5.9713933057431205,0.0326726203441515,,,,,,4.0,17.88,4.47,0.0324548028751905,0.0072605822987003,,,,,,,,,,,,,,,,9.0,55.0,6.111111111111111,0.0998330066071298,0.0163363101720757,,,,,,,,,,,,,,,,,,,,12.183424278300611,546.0,0.0223139638796714,0.0048010350410307,2.048949044329539,0.0214940694043858,0.9910694837725984,76232.0,76232.0,0.0,1.0,0.0,451.0,0.0,179.0,1235.0,0.0,0.0,0.0,0.0,451.0,0.0,179.0,1235.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,MDMA,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,inactive,1,blue,6,5-6,,,,3381.0,219.0,2.0,1690.5,,,,,,,,,,,,,4.0,3590.52,897.63,16.395068493150685,0.0182648401826484,,,,,,1.0,1.64,1.64,0.0074885844748858,0.0045662100456621,10.0,101.36,10.136,0.4628310502283105,0.045662100456621,,,,,,3.0,11.2,3.733333333333333,0.0511415525114155,0.0136986301369863,5.0,20.72,4.144,0.0946118721461187,0.0228310502283105,,,,,,,,,,,,,,,,,,,,1.9446919493549504,214.0,0.0090873455577334,0.0022980941694153,2.2907756969250017,0.0072927669339241,0.9771689497716894,84527.0,84527.0,0.0,1.0,0.0,2586.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,2586.0,283.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,MDMA,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,inactive,1,blue,7,6-7,2.0,20.92,10.46,3410.76,189.23999999999975,10.0,341.076,0.1105474529697739,0.0105685901500739,,,,,,,,,,,3.0,3570.24,1190.08,18.866201648700088,0.0158528852251109,,,,,,2.0,57.24,28.62,0.3024730500951177,0.0105685901500739,2.0,17.32,8.66,0.0915239906996407,0.0105685901500739,2.0,5.64,2.82,0.0298034242232086,0.0105685901500739,,,,,,1.0,3.4,3.4,0.0179666032551257,0.0052842950750369,2.0,5.0,2.5,0.0264214753751849,0.0105685901500739,1.8,2.0,0.9,0.0,0.0,0.0,0.0095117311350665,0.0105685901500739,0.0,0.0,1.0,0.0,1.0,0.0,8.060439190128033,180.0,0.0447802177229335,0.0089678691066452,2.0734607451152853,0.0389301218568078,0.9511731135066596,85279.0,59268.33333333332,3284.0,0.694993296513014,0.0385088943350649,1868.0,143.0,0.0,525.0,0.0,0.0,0.0,0.0,1868.0,143.0,0.0,525.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,MDMA,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,inactive,1,blue,8,7-8,,,,3595.28,4.7199999999998,4.0,898.82,,,,,,,,,,,,,1.0,3600.0,3600.0,762.711864406812,0.21186440677967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0910834648917949,3.0,0.0303611549639316,0.013875568065066,0.968086491354966,0.030894040836875,0.63559322033901,89886.0,60936.33333333333,0.0,0.6779290805390531,0.0,,,,,,,,,,,,,,,,,,,,,MDMA,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,inactive,1,blue,9,8-9,,,,3600.0,0.0,1.0,3600.0,,,,,,,,,,,,,1.0,3600.0,3600.0,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90001.0,75244.0,0.0,0.8360351551649426,0.0,,,,,,,,,,,,,,,,,,,,,MDMA,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,inactive,1,blue,10,9-10,5.0,23.04,4.608,2954.92,645.0799999999999,14.0,211.06571428571428,0.0357165002790351,0.0077509766230545,1.0,6.64,6.64,0.0102932969554163,0.0015501953246109,4.0,29.16,7.29,0.0452036956656538,0.0062007812984436,19.0,3467.16,182.48210526315788,5.374775221677932,0.0294537111676071,,,,,,14.0,72.32,5.1657142857142855,0.1121101258758603,0.0217027345445526,2.0,11.2,5.6,0.017362187635642,0.0031003906492218,4.0,26.68,6.67,0.0413592112606188,0.0062007812984436,1.0,1.08,1.08,0.0016742109505797,0.0015501953246109,7.0,61.16,8.737142857142857,0.0948099460532027,0.0108513672722763,2.0,5.72,2.86,0.0088671172567743,0.0031003906492218,,,,,,,,,,,,,,,18.182985996724707,626.0,0.0290463035091449,0.0054835508214622,1.846202199872032,0.0257140809405896,0.9704222732064242,73887.0,68706.0,0.0,0.9298794104510942,0.0,2104.0,699.0,900.0,581.0,0.0,0.0,0.0,0.0,2104.0,699.0,900.0,581.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,MDMA,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
