day,phase,box,mouse,time_bin,time_window,s_wall_count,s_wall_duration,s_wall_mean_duration,nest_duration,outside_nest_duration,nest_count,nest_mean_duration,s_wall_duration_fraction,s_wall_event_rate,ramp1_count,ramp1_duration,ramp1_mean_duration,ramp1_duration_fraction,ramp1_event_rate,ramp2_count,ramp2_duration,ramp2_mean_duration,ramp2_duration_fraction,ramp2_event_rate,non_wall_count,non_wall_duration,non_wall_mean_duration,non_wall_duration_fraction,non_wall_event_rate,woodstick_count,woodstick_duration,woodstick_mean_duration,woodstick_duration_fraction,woodstick_event_rate,feeder_prox_count,feeder_prox_duration,feeder_prox_mean_duration,feeder_prox_duration_fraction,feeder_prox_event_rate,feeder_dist_count,feeder_dist_duration,feeder_dist_mean_duration,feeder_dist_duration_fraction,feeder_dist_event_rate,water_prox_count,water_prox_duration,water_prox_mean_duration,water_prox_duration_fraction,water_prox_event_rate,water_dist_count,water_dist_duration,water_dist_mean_duration,water_dist_duration_fraction,water_dist_event_rate,motionless_count,motionless_duration,motionless_mean_duration,motionless_duration_fraction,motionless_event_rate,speeding_count,speeding_duration,speeding_mean_duration,speeding_duration_fraction,speeding_event_rate,chasing_duration,chasing_count,chasing_mean_duration,chased_duration,chased_count,chased_mean_duration,chasing_duration_fraction,chasing_event_rate,chased_duration_fraction,chased_event_rate,chasing_duration_ratio,chased_duration_ratio,chasing_event_ratio,chased_event_ratio,total_distance,valid_locomotion_duration,mean_speed,median_speed,mean_abs_angular_velocity,mean_abs_acceleration,valid_locomotion_duration_fraction,nest_frames,weighted_sum,alone_sum,weighted_co_occupancy,alone_fraction,feeding_frames,drinking_frames,ramps_frames,s_wall_frames,feeding_together_frames,drinking_together_frames,ramps_together_frames,s_wall_together_frames,feeding_alone_frames,drinking_alone_frames,ramps_alone_frames,s_wall_alone_frames,feeding_together_fraction,feeding_alone_fraction,drinking_together_fraction,drinking_alone_fraction,ramps_together_fraction,ramps_alone_fraction,s_wall_together_fraction,s_wall_alone_fraction,time_point,exp,sex,age,mouse_ID,background,treatment,condition
1,inactive,1,blue,1,0-1,45.0,683.04,15.178666666666668,426.24,3173.76,32.0,13.32,0.2152147610405323,0.0141787658802177,9.0,20.12,2.2355555555555555,0.0063394837668884,0.0028357531760435,7.0,29.32,4.188571428571429,0.0092382536801774,0.0022055858035894,85.0,2148.68,25.278588235294116,0.6770140149223632,0.0267821133293002,,,,,,20.0,201.88,10.094,0.0636090945755192,0.0063016737245412,14.0,36.84,2.6314285714285717,0.0116076830006049,0.0044111716071788,14.0,61.44,4.388571428571429,0.0193587416817906,0.0044111716071788,3.0,4.12,1.3733333333333333,0.0012981447872554,0.0009452510586811,66.0,309.96,4.696363636363636,0.0976633393829401,0.020795523290986,4.0,9.88,2.47,0.0031130268199233,0.0012603347449082,1.2,1.0,1.2,0.0,0.0,0.0,0.0003781004234724,0.000315083686227,0.0,0.0,1.0,0.0,1.0,0.0,119.31440821342522,3136.0,0.0380466862925463,0.0073609494072983,2.0130814603249574,0.0319469533414682,0.988102440008066,10688.0,7734.333333333333,732.0,0.7236464570858283,0.0684880239520958,6002.0,1656.0,1252.0,17121.0,1383.0,53.0,33.0,29.0,4619.0,1603.0,1219.0,17092.0,0.2304231922692436,0.7695768077307564,0.0320048309178744,0.9679951690821256,0.0263578274760383,0.9736421725239616,0.001693826295193,0.998306173704807,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,inactive,1,blue,2,1-2,34.0,189.32,5.568235294117647,1031.04,2568.96,43.0,23.97767441860465,0.0736951918285998,0.0132349277528649,1.0,7.16,7.16,0.0027871200797209,0.0003892625809666,2.0,6.4,3.2,0.0024912805181863,0.0007785251619332,102.0,2738.52,26.848235294117647,1.0660033632286996,0.0397047832585949,,,,,,13.0,382.16,29.39692307692308,0.1487605879422023,0.005060413552566,4.0,14.72,3.68,0.0057299451918286,0.0015570503238664,9.0,46.6,5.177777777777778,0.0181396362730443,0.0035033632286995,3.0,16.52,5.506666666666667,0.0064306178375685,0.0011677877428998,55.0,282.96,5.144727272727272,0.1101457399103138,0.0214094419531639,5.0,10.68,2.136,0.0041573243647234,0.001946312904833,,,,,,,,,,,,,,,130.04625015210232,2529.0,0.0514220048051017,0.0145833053145378,1.922043489718068,0.0415782655577542,0.984445067264574,25819.0,25819.0,0.0,1.0,0.0,9939.0,1590.0,342.0,4767.0,0.0,0.0,0.0,0.0,9939.0,1590.0,342.0,4767.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,inactive,1,blue,3,2-3,2.0,5.4,2.7,3535.56,64.44000000000005,6.0,589.26,0.0837988826815641,0.0310366232153941,,,,,,1.0,3.16,3.16,0.0490378646803227,0.015518311607697,6.0,3571.0,595.1666666666666,55.41589075108624,0.0931098696461824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,0.0465549348230912,0.015518311607697,,,,,,,,,,,,,,,4.743239067120043,59.0,0.08039388249356,0.0454845050635332,1.2101108655834407,0.0755131329031748,0.9155803848541272,88395.0,88395.0,0.0,1.0,0.0,0.0,0.0,80.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,137.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,inactive,1,blue,4,3-4,7.0,80.44,11.491428571428573,2592.6,1007.4,34.0,76.25294117647059,0.0798491165376216,0.0069485805042684,4.0,17.84,4.46,0.0177089537423069,0.0039706174310105,1.0,16.28,16.28,0.0161604129442128,0.0009926543577526,25.0,3410.84,136.4336,3.3857851895969824,0.0248163589438157,,,,,,7.0,205.04,29.291428571428572,0.2035338495135993,0.0069485805042684,1.0,5.76,5.76,0.0057176891006551,0.0009926543577526,5.0,41.72,8.344,0.0414135398054397,0.0049632717887631,1.0,6.48,6.48,0.006432400238237,0.0009926543577526,18.0,90.52,5.028888888888889,0.0898550724637681,0.0178677784395473,3.0,8.44,2.813333333333333,0.0083780027794322,0.0029779630732578,4.2,4.0,1.05,0.0,0.0,0.0,0.004169148302561,0.0039706174310105,0.0,0.0,1.0,0.0,1.0,0.0,30.06126366540811,976.0,0.0308004750670165,0.0055226925485261,1.9937096893479176,0.0255782532328452,0.9688306531665676,64849.0,50641.0,856.0,0.7809064133602677,0.0131998951410199,5278.0,1211.0,858.0,2018.0,47.0,0.0,123.0,49.0,5231.0,1211.0,735.0,1969.0,0.008904888215233,0.991095111784767,0.0,1.0,0.1433566433566433,0.8566433566433567,0.0242814667988107,0.9757185332011892,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,inactive,1,blue,5,4-5,4.0,33.68,8.42,3524.04,75.96000000000004,5.0,704.808,0.4433912585571351,0.0526592943654554,1.0,1.68,1.68,0.0221169036334913,0.0131648235913638,1.0,1.28,1.28,0.0168509741969457,0.0131648235913638,5.0,3551.92,710.384,46.76040021063716,0.0658241179568193,,,,,,,,,,,,,,,,,,,,,1.0,2.6,2.6,0.034228541337546,0.0131648235913638,,,,,,,,,,,,,,,,,,,,,,,,,4.766876150877543,69.0,0.0690851616069209,0.0470259996285817,1.7097169587388237,0.0572014230593801,0.908372827804107,88106.0,57496.66666666666,0.0,0.6525851436527212,0.0,0.0,66.0,76.0,846.0,0.0,0.0,0.0,739.0,0.0,66.0,76.0,107.0,0.0,0.0,0.0,1.0,0.0,1.0,0.8735224586288416,0.1264775413711583,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,inactive,1,blue,6,5-6,,,,3600.0,0.0,1.0,3600.0,,,,,,,,,,,,,1.0,3600.0,3600.0,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90001.0,67875.33333333333,0.0,0.7541619907926949,0.0,,,,,,,,,,,,,,,,,,,,,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,inactive,1,blue,7,6-7,1.0,15.4,15.4,3500.56,99.44000000000004,4.0,875.14,0.154867256637168,0.0100563153660498,,,,,,,,,,,2.0,3576.4,1788.2,35.96540627514077,0.0201126307320997,,,,,,3.0,23.92,7.973333333333334,0.240547063555913,0.0301689460981496,,,,,,,,,,,1.0,3.44,3.44,0.0345937248592115,0.0100563153660498,,,,,,1.0,2.48,2.48,0.0249396621078036,0.0100563153660498,,,,,,,,,,,,,,,2.3032306414728505,95.0,0.0242445330681352,0.0067618382021131,2.0384288709841285,0.0191943923066461,0.955349959774738,87518.0,58640.66666666665,886.0,0.6700412105700159,0.0101236317100482,601.0,87.0,0.0,386.0,0.0,0.0,0.0,0.0,601.0,87.0,0.0,386.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,inactive,1,blue,8,7-8,3.0,14.72,4.906666666666667,3124.48,475.52,6.0,520.7466666666667,0.0309555854643337,0.0063088829071332,,,,,,,,,,,10.0,3536.88,353.688,7.43792059219381,0.0210296096904441,,,,,,4.0,37.52,9.38,0.0789030955585464,0.0084118438761776,2.0,18.76,9.38,0.0394515477792732,0.0042059219380888,,,,,,,,,,,12.0,42.4,3.533333333333333,0.0891655450874831,0.0252355316285329,5.0,12.44,2.488,0.0261608344549125,0.010514804845222,1.4,1.0,1.4,0.0,0.0,0.0,0.0029441453566621,0.0021029609690444,0.0,0.0,1.0,0.0,1.0,0.0,11.84795038172,471.0,0.025154884037622,0.0025328005608602,1.9615240129456304,0.0200139069995529,0.9904946164199192,78118.0,78118.0,0.0,1.0,0.0,1413.0,0.0,0.0,371.0,0.0,0.0,0.0,0.0,1413.0,0.0,0.0,371.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,inactive,1,blue,9,8-9,,,,3596.96,3.0399999999999636,2.0,1798.48,,,,,,,,,,,,,2.0,3599.96,1799.98,1184.1973684210668,0.6578947368421131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,89926.0,89926.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,inactive,1,blue,10,9-10,,,,3600.0,0.0,1.0,3600.0,,,,,,,,,,,,,1.0,3600.0,3600.0,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90001.0,90001.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
