day,phase,box,mouse,time_bin,time_window,s_wall_count,s_wall_duration,s_wall_mean_duration,nest_duration,outside_nest_duration,nest_count,nest_mean_duration,s_wall_duration_fraction,s_wall_event_rate,ramp1_count,ramp1_duration,ramp1_mean_duration,ramp1_duration_fraction,ramp1_event_rate,ramp2_count,ramp2_duration,ramp2_mean_duration,ramp2_duration_fraction,ramp2_event_rate,non_wall_count,non_wall_duration,non_wall_mean_duration,non_wall_duration_fraction,non_wall_event_rate,woodstick_count,woodstick_duration,woodstick_mean_duration,woodstick_duration_fraction,woodstick_event_rate,feeder_prox_count,feeder_prox_duration,feeder_prox_mean_duration,feeder_prox_duration_fraction,feeder_prox_event_rate,feeder_dist_count,feeder_dist_duration,feeder_dist_mean_duration,feeder_dist_duration_fraction,feeder_dist_event_rate,water_prox_count,water_prox_duration,water_prox_mean_duration,water_prox_duration_fraction,water_prox_event_rate,water_dist_count,water_dist_duration,water_dist_mean_duration,water_dist_duration_fraction,water_dist_event_rate,motionless_count,motionless_duration,motionless_mean_duration,motionless_duration_fraction,motionless_event_rate,speeding_count,speeding_duration,speeding_mean_duration,speeding_duration_fraction,speeding_event_rate,chasing_duration,chasing_count,chasing_mean_duration,chased_duration,chased_count,chased_mean_duration,chasing_duration_fraction,chasing_event_rate,chased_duration_fraction,chased_event_rate,chasing_duration_ratio,chased_duration_ratio,chasing_event_ratio,chased_event_ratio,total_distance,valid_locomotion_duration,mean_speed,median_speed,mean_abs_angular_velocity,mean_abs_acceleration,valid_locomotion_duration_fraction,nest_frames,weighted_sum,alone_sum,weighted_co_occupancy,alone_fraction,feeding_frames,drinking_frames,ramps_frames,s_wall_frames,feeding_together_frames,drinking_together_frames,ramps_together_frames,s_wall_together_frames,feeding_alone_frames,drinking_alone_frames,ramps_alone_frames,s_wall_alone_frames,feeding_together_fraction,feeding_alone_fraction,drinking_together_fraction,drinking_alone_fraction,ramps_together_fraction,ramps_alone_fraction,s_wall_together_fraction,s_wall_alone_fraction,time_point,exp,sex,age,mouse_ID,background,treatment,condition
1,inactive,1,blue,2,0-2,41.0,699.8,17.068292682926828,1952.76,5247.24,51.0,38.28941176470588,0.1333653501650391,0.0078136315472515,22.0,101.84,4.629090909090909,0.0194082984578559,0.0041926803424276,30.0,130.6,4.3533333333333335,0.024889275123684,0.0057172913760376,111,5122.12,46.145225225225225,0.9761550834343388,0.0211539780913394,5.0,18.4,3.68,0.0035066053773031,0.0009528818960062,12.0,116.92,9.743333333333334,0.0222821902562108,0.002286916550415,48.0,1060.12,22.08583333333333,0.2020338311188358,0.0091476662016603,5.0,18.6,3.72,0.0035447206531433,0.0009528818960062,8.0,27.4,3.425,0.0052217927901144,0.00152461103361,87.0,371.08,4.2652873563218385,0.0707190827940021,0.0165801449905092,9.0,21.24,2.36,0.0040478422942346,0.0017151874128113,1.6,2.0,0.8,3.8,4.0,0.95,0.000304922206722,0.0003811527584025,0.0007241902409647,0.000762305516805,0.2962962962962963,0.7037037037037036,0.3333333333333333,0.6666666666666666,160.60244730632698,5193.0,0.0309267181410219,0.0056862919253855,2.06496721403887,0.0282321096095776,0.989663137192124,48870.0,20550.0,14377.0,0.4205033763044812,0.2941886638019235,29486.0,1163.0,5863.0,17536.0,1840.0,7.0,332.0,1833.0,27646.0,1156.0,5531.0,15703.0,0.0624024960998439,0.937597503900156,0.0060189165950128,0.9939810834049873,0.0566263005287395,0.9433736994712604,0.1045278284671532,0.8954721715328468,baseline,female_P42,female,P42,1072271,ELA,MDMA,ELA_MDMA
1,inactive,1,blue,4,2-4,28.0,292.32,10.44,4195.4,3004.6000000000004,32.0,131.10625,0.0972908207415296,0.0093190441323304,8.0,37.36,4.67,0.0124342674565665,0.0026625840378086,9.0,40.76,4.528888888888889,0.0135658656726352,0.0029954070425347,98,5866.96,59.86693877551021,1.9526592558077611,0.0326166544631564,2.0,4.4,2.2,0.0014644212207947,0.0006656460094521,4.0,26.4,6.6,0.0087865273247686,0.0013312920189043,6.0,437.4,72.89999999999999,0.1455767822671902,0.0019969380283565,1.0,5.36,5.36,0.0017839313053318,0.000332823004726,1.0,5.92,5.92,0.0019703121879784,0.000332823004726,55.0,273.88,4.979636363636364,0.0911535645343806,0.0183052652599347,7.0,17.32,2.474285714285714,0.0057644944418558,0.0023297610330826,0.0,0.0,0.0,0.8,1.0,0.8,0.0,0.0,0.0002662584037808,0.000332823004726,0.0,1.0,0.0,1.0,104.82924715838422,2972.0,0.0352722904301427,0.0071525759117095,2.014065294455337,0.0296258004077812,0.9891499700459294,104917.0,101455.33333333331,21.0,0.967005664795346,0.0002001582203074,11605.0,284.0,1970.0,7336.0,33.0,0.0,237.0,379.0,11572.0,284.0,1733.0,6957.0,0.0028436018957345,0.9971563981042654,0.0,1.0,0.1203045685279187,0.8796954314720812,0.0516630316248636,0.9483369683751364,baseline,female_P42,female,P42,1072271,ELA,MDMA,ELA_MDMA
1,inactive,1,blue,6,4-6,,,,7161.36,38.64000000000033,7.0,1023.0514285714286,,,1.0,4.88,4.88,0.1262939958592121,0.0258799171842647,1.0,4.04,4.04,0.1045548654244297,0.0258799171842647,5,7185.88,1437.176,185.96997929606468,0.1293995859213239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2741508302482107,31.0,0.0733597042015551,0.0363178788158502,1.622201576440503,0.0887142925987358,0.8022774327122085,179041.0,173283.3333333333,42.0,0.9678416303155888,0.0002345831401745,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,baseline,female_P42,female,P42,1072271,ELA,MDMA,ELA_MDMA
1,inactive,1,blue,8,6-8,2.0,22.28,11.14,6968.44,231.5600000000004,6.0,1161.4066666666663,0.0962169632060803,0.0086370703057522,4.0,19.52,4.88,0.0842978061841421,0.0172741406115045,3.0,9.48,3.16,0.0409397132492657,0.0129556054586284,13,7133.24,548.7107692307692,30.805147693902175,0.0561409569873897,,,,,,1.0,9.96,9.96,0.0430126101226463,0.0043185351528761,3.0,11.4,3.8,0.0492313007427879,0.0129556054586284,,,,,,,,,,,1.0,2.08,2.08,0.0089825531179823,0.0043185351528761,,,,,,,,,,,,,,,,,,,,8.864643186014668,226.0,0.0392240848938702,0.0109078567398283,1.7602012175308008,0.0360442792643121,0.975988944550007,174217.0,174114.0,0.0,0.9994087832989892,0.0,538.0,0.0,732.0,559.0,0.0,0.0,0.0,0.0,538.0,0.0,732.0,559.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,baseline,female_P42,female,P42,1072271,ELA,MDMA,ELA_MDMA
1,inactive,1,blue,10,8-10,3.0,24.04,8.013333333333334,6435.32,764.6800000000003,24.0,268.1383333333333,0.0314379871318721,0.0039232097086362,4.0,36.08,9.02,0.0471831354291991,0.0052309462781817,1.0,2.76,2.76,0.0036093529319453,0.0013077365695454,27,6977.44,258.42370370370367,9.124653449809069,0.0353088873777266,4.0,11.76,2.94,0.0153789820578542,0.0052309462781817,5.0,15.84,3.168,0.0207145472615996,0.0065386828477271,2.0,8.92,4.46,0.0116650102003452,0.0026154731390908,,,,,,1.0,2.6,2.6,0.0034001150808181,0.0013077365695454,16.0,61.76,3.86,0.0807658105351257,0.0209237851127268,1.0,2.24,2.24,0.0029293299157817,0.0013077365695454,,,,,,,,,,,,,,,24.16954044407627,741.0,0.0326174634872824,0.0083049679072454,1.9887476269359132,0.027512570197165,0.9690327980331638,160907.0,152451.0,0.0,0.947447904690287,0.0,626.0,66.0,976.0,604.0,57.0,0.0,0.0,0.0,569.0,66.0,976.0,604.0,0.0910543130990415,0.9089456869009584,0.0,1.0,0.0,1.0,0.0,1.0,baseline,female_P42,female,P42,1072271,ELA,MDMA,ELA_MDMA
1,inactive,1,blue,12,10-12,1.0,3.52,3.52,6932.64,267.3599999999997,7.0,990.3771428571428,0.0131657690005984,0.0037402752842609,1.0,4.44,4.44,0.0166068222621185,0.0037402752842609,,,,,,3,7187.76,2395.92,26.884201077199315,0.0112208258527827,,,,,,1.0,6.68,6.68,0.0249850388988629,0.0037402752842609,12.0,104.72,8.726666666666667,0.3916816277678042,0.0448833034111311,,,,,,2.0,2.2,1.1,0.008228605625374,0.0074805505685218,6.0,18.92,3.1533333333333338,0.0707660083782167,0.0224416517055655,,,,,,,,,,,,,,,,,,,,9.720089359680248,263.0,0.0369585146755903,0.0054342189338355,2.1786670277050155,0.0299786142003475,0.9836923997606236,173323.0,157920.66666666666,2152.0,0.9111350868994113,0.0124161248074404,2798.0,57.0,112.0,89.0,821.0,0.0,0.0,0.0,1977.0,57.0,112.0,89.0,0.2934238741958542,0.7065761258041459,0.0,1.0,0.0,1.0,0.0,1.0,baseline,female_P42,female,P42,1072271,ELA,MDMA,ELA_MDMA
1,inactive,1,green,2,0-2,38.0,204.08,5.370526315789474,3695.44,3504.56,327.0,11.301039755351685,0.0582327025361243,0.010843015956354,15.0,48.16,3.2106666666666666,0.0137420960120528,0.0042801378775081,15.0,62.28,4.152,0.0177711324674138,0.0042801378775081,47,6851.76,145.78212765957448,1.955098500239688,0.0134110986828589,2.0,3.32,1.66,0.0009473371835551,0.0005706850503344,4.0,10.48,2.62,0.0029903896637523,0.0011413701006688,35.0,179.76,5.136,0.0512931723240578,0.0099869883808523,2.0,8.6,4.3,0.002453945716438,0.0005706850503344,,,,,,16.0,72.0,4.5,0.0205446618120391,0.0045654804026753,,,,,,,,,,,,,,,,,,,,268.1405129723058,3223.0,0.08319593948877,0.0291461223715295,2.014839270805479,0.0676964931560958,0.9196589586139202,92713.0,37152.33333333333,19965.0,0.4007240983824633,0.2153419693031182,4787.0,217.0,2791.0,5140.0,446.0,0.0,659.0,2619.0,4341.0,217.0,2132.0,2521.0,0.0931689993733027,0.9068310006266972,0.0,1.0,0.2361160874238624,0.7638839125761376,0.5095330739299611,0.4904669260700389,baseline,female_P42,female,P42,1072473,CTRL,MDMA,CTRL_MDMA
1,inactive,1,green,4,2-4,,,,7085.92,114.07999999999991,15.0,472.3946666666667,,,,,,,,,,,,,2,7200.0,3600.0,63.113604488078586,0.017531556802244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.874620749546371,102.0,0.0772021642112389,0.027978202476337,1.9525137327635689,0.0649417351701146,0.8941093969144467,177163.0,135008.3333333333,251.0,0.7620571639300153,0.0014167743829129,,,,,,,,,,,,,,,,,,,,,baseline,female_P42,female,P42,1072473,CTRL,MDMA,CTRL_MDMA
1,inactive,1,green,6,4-6,3.0,18.24,6.079999999999999,6620.48,579.5200000000004,23.0,287.8469565217391,0.0314743235781336,0.0051766979569298,2.0,9.8,4.9,0.0169105466593042,0.0034511319712865,,,,,,12,7136.12,594.6766666666666,12.313845941468792,0.0207067918277194,,,,,,2.0,3.84,1.92,0.0066261733848702,0.0034511319712865,7.0,282.6,40.371428571428574,0.4876449475427937,0.012078961899503,1.0,1.84,1.84,0.0031750414135836,0.0017255659856432,,,,,,17.0,63.0,3.7058823529411766,0.1087106570955272,0.0293346217559359,2.0,6.16,3.08,0.0106294864715626,0.0034511319712865,,,,,,,,,,,,,,,18.13963361647682,557.0,0.0325666671750032,0.0042905848911198,2.0692229024223963,0.0301379064561159,0.9611402540033124,165535.0,164949.0,0.0,0.996459963149787,0.0,7170.0,47.0,247.0,459.0,0.0,0.0,0.0,39.0,7170.0,47.0,247.0,420.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0849673202614379,0.915032679738562,baseline,female_P42,female,P42,1072473,CTRL,MDMA,CTRL_MDMA
1,inactive,1,green,8,6-8,,,,7188.16,11.840000000000146,3.0,2396.0533333333333,,,,,,,,,,,,,2,7200.0,3600.0,608.1081081081006,0.1689189189189168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6185093074968238,10.0,0.0618509307496823,0.0210982097095549,0.7564363316410332,0.0729382123486502,0.8445945945945842,179707.0,177778.66666666666,0.0,0.989269570281996,0.0,,,,,,,,,,,,,,,,,,,,,baseline,female_P42,female,P42,1072473,CTRL,MDMA,CTRL_MDMA
