day,phase,box,mouse,time_bin,time_window,s_wall_count,s_wall_duration,s_wall_mean_duration,nest_duration,outside_nest_duration,nest_count,nest_mean_duration,s_wall_duration_fraction,s_wall_event_rate,ramp1_count,ramp1_duration,ramp1_mean_duration,ramp1_duration_fraction,ramp1_event_rate,ramp2_count,ramp2_duration,ramp2_mean_duration,ramp2_duration_fraction,ramp2_event_rate,non_wall_count,non_wall_duration,non_wall_mean_duration,non_wall_duration_fraction,non_wall_event_rate,woodstick_count,woodstick_duration,woodstick_mean_duration,woodstick_duration_fraction,woodstick_event_rate,feeder_prox_count,feeder_prox_duration,feeder_prox_mean_duration,feeder_prox_duration_fraction,feeder_prox_event_rate,feeder_dist_count,feeder_dist_duration,feeder_dist_mean_duration,feeder_dist_duration_fraction,feeder_dist_event_rate,water_prox_count,water_prox_duration,water_prox_mean_duration,water_prox_duration_fraction,water_prox_event_rate,water_dist_count,water_dist_duration,water_dist_mean_duration,water_dist_duration_fraction,water_dist_event_rate,motionless_count,motionless_duration,motionless_mean_duration,motionless_duration_fraction,motionless_event_rate,speeding_count,speeding_duration,speeding_mean_duration,speeding_duration_fraction,speeding_event_rate,chasing_duration,chasing_count,chasing_mean_duration,chased_duration,chased_count,chased_mean_duration,chasing_duration_fraction,chasing_event_rate,chased_duration_fraction,chased_event_rate,chasing_duration_ratio,chased_duration_ratio,chasing_event_ratio,chased_event_ratio,total_distance,valid_locomotion_duration,mean_speed,median_speed,mean_abs_angular_velocity,mean_abs_acceleration,valid_locomotion_duration_fraction,nest_frames,weighted_sum,alone_sum,weighted_co_occupancy,alone_fraction,feeding_frames,drinking_frames,ramps_frames,s_wall_frames,feeding_together_frames,drinking_together_frames,ramps_together_frames,s_wall_together_frames,feeding_alone_frames,drinking_alone_frames,ramps_alone_frames,s_wall_alone_frames,feeding_together_fraction,feeding_alone_fraction,drinking_together_fraction,drinking_alone_fraction,ramps_together_fraction,ramps_alone_fraction,s_wall_together_fraction,s_wall_alone_fraction,time_point,exp,sex,age,mouse_ID,background,treatment,condition
1,inactive,1,blue,6,0-6,92.0,991.88,10.781304347826088,14709.48,6890.52,121.0,121.56595041322312,0.1439484973557873,0.0133516773770339,15.0,46.8,3.1199999999999997,0.0067919402309259,0.0021769039201685,12.0,56.44,4.703333333333333,0.0081909638169543,0.0017415231361348,224.0,19020.96,84.91499999999999,2.760453492624649,0.0325084318745174,,,,,,40.0,789.08,19.727,0.1145167563551081,0.0058050771204495,19.0,57.32,3.0168421052631578,0.0083186755136041,0.0027574116322135,28.0,149.76,5.348571428571428,0.021734208738963,0.0040635539843146,8.0,29.72,3.715,0.004313172300494,0.0011610154240899,139.0,683.44,4.916834532374101,0.0991855476800009,0.0201726429935621,13.0,32.0,2.4615384615384617,0.0046440616963596,0.0018866500641461,5.4,5.0,1.08,0.0,0.0,0.0,0.0007836854112606,0.0007256346400561,0.0,0.0,1.0,0.0,1.0,0.0,288.9320372489332,6769.0,0.0426845970230363,0.0088452825879548,1.9661770141314576,0.0352485557219863,0.9823641757080742,367858.0,297961.3333333333,1588.0,0.8099900867544904,0.0043168831451266,21219.0,4523.0,2608.0,24889.0,1430.0,53.0,156.0,817.0,19789.0,4470.0,2452.0,24072.0,0.0673924313115603,0.9326075686884396,0.0117178863586115,0.9882821136413884,0.0598159509202454,0.9401840490797546,0.0328257463136325,0.9671742536863674,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,inactive,1,blue,12,6-12,9.0,57.72,6.413333333333333,20125.88,1474.119999999999,26.0,774.0723076923077,0.0391555639975036,0.0061053374216481,1.0,4.64,4.64,0.0031476406262719,0.0006783708246275,2.0,9.56,4.78,0.0064852250834396,0.0013567416492551,30.0,21420.52,714.0173333333333,14.53105581635146,0.0203511247388272,,,,,,25.0,264.76,10.5904,0.1796054595283967,0.0169592706156893,10.0,48.6,4.86,0.0329688220769001,0.0067837082462757,5.0,20.6,4.12,0.013974438987328,0.0033918541231378,4.0,32.56,8.14,0.0220877540498738,0.0027134832985102,22.0,78.2,3.5545454545454547,0.0530485984858763,0.0149241581418066,11.0,27.2,2.4727272727272727,0.01845168642987,0.0074620790709033,1.4,1.0,1.4,0.0,0.0,0.0,0.0009497191544786,0.0006783708246275,0.0,0.0,1.0,0.0,1.0,0.0,38.78329390631461,1448.0,0.0267840427529797,0.0044228540810772,1.9756518000383212,0.0227726915813064,0.9822809540607284,503173.0,456506.6666666666,3384.0,0.9072558874714396,0.0067253211122218,7869.0,1338.0,358.0,1452.0,817.0,0.0,0.0,0.0,7052.0,1338.0,358.0,1452.0,0.1038251366120218,0.8961748633879781,0.0,1.0,0.0,1.0,0.0,1.0,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,inactive,1,green,6,0-6,96.0,1184.4,12.3375,13884.08,7715.92,202.0,68.73306930693069,0.1535008139016475,0.012441808624247,19.0,79.84,4.202105263157895,0.010347437505832,0.0024624412902155,20.0,126.6,6.33,0.0164076351232257,0.0025920434633847,167.0,18718.4,112.0862275449102,2.4259453182510966,0.021643562919263,,,,,,43.0,617.28,14.355348837209302,0.0800008294539082,0.0055728934462773,32.0,707.4,22.10625,0.0916805772999201,0.0041472695414156,22.0,128.84,5.856363636363636,0.0166979439911248,0.0028512478097232,15.0,82.32,5.4879999999999995,0.0106688508952918,0.0019440325975385,121.0,552.92,4.569586776859504,0.071659633588736,0.015681862953478,10.0,23.08,2.308,0.002991218156746,0.0012960217316923,0.0,0.0,0.0,4.6,4.0,1.15,0.0,0.0,0.0005961699965785,0.0005184086926769,0.0,1.0,0.0,1.0,259.65329533436693,7534.0,0.0344642016637067,0.0081070484885323,2.004191417131437,0.0302471870299225,0.976422772657052,347304.0,283275.0,1055.0,0.8156399004906364,0.0030376845645313,33192.0,5302.0,5200.0,29706.0,1225.0,48.0,537.0,1115.0,31967.0,5254.0,4663.0,28591.0,0.0369064834899975,0.9630935165100024,0.0090531874764239,0.990946812523576,0.1032692307692307,0.8967307692307692,0.0375345048138423,0.9624654951861576,baseline,male_P35,male,P35,1072240,ELA,MDMA,ELA_MDMA
1,inactive,1,green,12,6-12,4.0,15.76,3.94,20359.24,1240.7599999999984,91.0,223.7279120879121,0.012701892388536,0.003223830555466,4.0,13.0,3.25,0.0104774493052645,0.003223830555466,3.0,15.64,5.213333333333334,0.012605177471872,0.0024178729165995,18.0,21552.88,1197.3822222222225,17.370708275573058,0.014507237499597,1.0,2.0,2.0,0.001611915277733,0.0008059576388665,47.0,664.52,14.13872340425532,0.535574970179568,0.0378800090267256,5.0,22.52,4.504,0.0181501660272736,0.0040297881943325,2.0,4.44,2.22,0.0035784519165672,0.001611915277733,1.0,1.32,1.32,0.0010638640833037,0.0008059576388665,7.0,22.28,3.182857142857143,0.0179567361939456,0.0056417034720655,1.0,2.68,2.68,0.0021599664721622,0.0008059576388665,,,,,,,,,,,,,,,38.07116823642858,1158.0,0.0328766565081421,0.0039043837658075,2.203510102296897,0.0276544498800506,0.9332989458074096,509072.0,464751.6666666666,1008.0,0.9129389686855036,0.0019800735455888,17228.0,147.0,723.0,398.0,1915.0,34.0,286.0,166.0,15313.0,113.0,437.0,232.0,0.1111562572556303,0.8888437427443696,0.2312925170068027,0.7687074829931972,0.3955739972337482,0.6044260027662517,0.4170854271356783,0.5829145728643216,baseline,male_P35,male,P35,1072240,ELA,MDMA,ELA_MDMA
1,inactive,1,red,6,0-6,6.0,153.56,25.593333333333337,19317.76,2282.2400000000016,114.0,169.4540350877193,0.0672847728547391,0.0026289960740325,2.0,9.6,4.8,0.004206393718452,0.0008763320246775,2.0,11.16,5.58,0.0048899326977005,0.0008763320246775,33.0,21289.4,645.1333333333333,9.328291503084683,0.0144594784071789,,,,,,53.0,965.12,18.209811320754717,0.4228827818283788,0.0232227986539539,2.0,50.52,25.26,0.0221361469433538,0.0008763320246775,16.0,140.92,8.8075,0.0617463544587772,0.00701065619742,1.0,1.16,1.16,0.0005082725743129,0.0004381660123387,29.0,125.4,4.324137931034483,0.0549460179472798,0.0127068143578238,3.0,7.48,2.4933333333333336,0.0032774817722938,0.0013144980370162,0.0,0.0,0.0,0.8,1.0,0.8,0.0,0.0,0.000350532809871,0.0004381660123387,0.0,1.0,0.0,1.0,40.13032204044135,2165.0,0.0185359455152154,0.0039702332127398,1.92298294266254,0.0166769753288502,0.9486294167134036,483058.0,363951.3333333333,9870.0,0.7534319550309349,0.0204323290370928,25446.0,3569.0,523.0,3845.0,303.0,0.0,17.0,29.0,25143.0,3569.0,506.0,3816.0,0.0119075689695826,0.9880924310304172,0.0,1.0,0.0325047801147227,0.9674952198852772,0.0075422626788036,0.9924577373211964,baseline,male_P35,male,P35,1072442,CTRL,MDMA,CTRL_MDMA
1,inactive,1,red,12,6-12,23.0,669.64,29.114782608695652,17810.08,3789.9199999999983,32.0,556.565,0.1766897454299827,0.0060687296829484,9.0,64.4,7.155555555555556,0.0169924431122556,0.0023747203107189,8.0,55.6,6.95,0.0146704943639971,0.0021108624984168,62.0,20144.68,324.9141935483871,5.315331194326004,0.0163591843627306,,,,,,18.0,440.44,24.468888888888888,0.1162135348503399,0.0047494406214379,18.0,643.56,35.75333333333333,0.1698083336851438,0.0047494406214379,14.0,55.4,3.957142857142857,0.0146177228015367,0.0036940093722294,12.0,78.28,6.523333333333333,0.0206547895470089,0.0031662937476252,62.0,243.48,3.927096774193548,0.0642441001393169,0.0163591843627306,9.0,22.16,2.462222222222222,0.0058470891206146,0.0023747203107189,0.0,0.0,0.0,1.4,1.0,1.4,0.0,0.0,0.0003694009372229,0.0002638578123021,0.0,1.0,0.0,1.0,75.59650780934396,3758.0,0.0201161542866801,0.003787867474719,2.077686483659664,0.0186782594479356,0.9915776586313172,445284.0,419840.0,1468.0,0.9428589394633538,0.0032967723969421,27136.0,3368.0,3017.0,16764.0,1028.0,229.0,0.0,0.0,26108.0,3139.0,3017.0,16764.0,0.0378832547169811,0.9621167452830188,0.0679928741092636,0.9320071258907364,0.0,1.0,0.0,1.0,baseline,male_P35,male,P35,1072442,CTRL,MDMA,CTRL_MDMA
1,inactive,1,yellow,6,0-6,16.0,99.68,6.23,19799.2,1800.7999999999993,138.0,143.47246376811594,0.0553531763660595,0.0088849400266548,8.0,31.04,3.88,0.0172367836517103,0.0044424700133274,2.0,3.92,1.96,0.0021768103065304,0.0011106175033318,25.0,21495.28,859.8112,11.936517103509557,0.0138827187916481,,,,,,18.0,113.68,6.315555555555556,0.0631274988893825,0.0099955575299866,3.0,10.12,3.373333333333333,0.0056197245668591,0.0016659262549977,7.0,32.8,4.685714285714285,0.0182141270546423,0.0038871612616614,4.0,28.88,7.22,0.0160373167481119,0.0022212350066637,23.0,100.84,4.384347826086957,0.055997334517992,0.0127721012883163,1.0,2.56,2.56,0.0014215904042647,0.0005553087516659,,,,,,,,,,,,,,,72.10646828744959,1682.0,0.0428694817404575,0.0138450935844607,2.08874188042471,0.0389528800850131,0.9340293203020884,495118.0,375593.6666666666,3897.0,0.7585942475665732,0.0078708509890571,3116.0,1553.0,884.0,2508.0,226.0,101.0,398.0,1101.0,2890.0,1452.0,486.0,1407.0,0.0725288831835686,0.9274711168164314,0.065035415325177,0.9349645846748228,0.4502262443438914,0.5497737556561086,0.4389952153110047,0.5610047846889952,baseline,male_P35,male,P35,1072421,ELA,MDMA,ELA_MDMA
1,inactive,1,yellow,12,6-12,7.0,79.88,11.411428571428573,20278.12,1321.880000000001,32.0,633.69125,0.0604290858474293,0.005295488244016,5.0,24.36,4.872,0.018428299089176,0.0037824916028686,1.0,1.48,1.48,0.0011196175144491,0.0007564983205737,25.0,21500.44,860.0175999999999,16.2650467515962,0.0189124580143431,,,,,,53.0,449.2,8.475471698113207,0.3398190456017185,0.0400944109904075,10.0,73.44,7.343999999999999,0.0555572366629345,0.0075649832057372,3.0,11.8,3.9333333333333336,0.0089266801827699,0.0022694949617211,5.0,47.52,9.504,0.0359488001936635,0.0037824916028686,10.0,35.32,3.532,0.026719520682664,0.0075649832057372,2.0,5.44,2.72,0.004115350863921,0.0015129966411474,,,,,,,,,,,,,,,37.711808108159666,1289.0,0.0292566393391463,0.0047288523714396,2.215002863755523,0.0281778763782126,0.9751263352195352,506985.0,464931.0,77.0,0.917050800319536,0.000151878260698,13129.0,1491.0,652.0,2004.0,1929.0,263.0,286.0,166.0,11200.0,1228.0,366.0,1838.0,0.1469266509254322,0.8530733490745678,0.1763916834339369,0.823608316566063,0.4386503067484663,0.5613496932515337,0.0828343313373253,0.9171656686626748,baseline,male_P35,male,P35,1072421,ELA,MDMA,ELA_MDMA
1,inactive,2,blue,6,0-6,35.0,445.04,12.715428571428571,8989.52,12610.48,41.0,219.25658536585368,0.035291281537261,0.0027754692922077,8.0,31.16,3.895,0.0024709606612912,0.000634392981076,3.0,23.6,7.866666666666667,0.0018714592941743,0.0002378973679035,92.0,14144.36,153.7430434782609,1.121635338226618,0.0072955192823746,,,,,,58.0,724.92,12.498620689655173,0.0574855199802069,0.0045993491128014,44.0,463.96,10.544545454545457,0.0367916209375059,0.0034891613959183,14.0,224.44,16.03142857142857,0.0177978950840887,0.0011101877168831,12.0,108.96,9.08,0.0086404324022559,0.000951589471614,88.0,400.8,4.554545454545455,0.0317830883519104,0.0069783227918366,30.0,74.48,2.482666666666667,0.005906198653818,0.0023789736790352,4.2,4.0,1.05,12.2,10.0,1.22,0.0003330563150649,0.000317196490538,0.0009674492961409,0.000792991226345,0.2560975609756097,0.7439024390243902,0.2857142857142857,0.7142857142857143,130.3899038165901,6190.0,0.0210646048168966,0.0036182115496824,2.097628969029969,0.0191048952425451,0.4908615691075994,224779.0,210084.6666666667,1257.0,0.93462764166878,0.0055921594099092,29824.0,8361.0,1380.0,11161.0,10691.0,611.0,0.0,2139.0,19133.0,7750.0,1380.0,9022.0,0.3584696888412017,0.6415303111587983,0.0730773830881473,0.9269226169118526,0.0,1.0,0.1916494937729594,0.8083505062270406,baseline,male_P35,male,P35,1072265,ELA,MDMA,ELA_MDMA
1,inactive,2,blue,12,6-12,1.0,3.48,3.48,20522.32,1077.6800000000003,19.0,1080.122105263158,0.0032291589340063,0.0009279192339098,2.0,21.24,10.62,0.0197090045282458,0.0018558384678197,1.0,8.44,8.44,0.0078316383341993,0.0009279192339098,24.0,21490.04,895.4183333333334,19.941021453492684,0.0222700616138371,,,,,,11.0,668.44,60.76727272727273,0.6202583327147204,0.0102071115730086,1.0,1.52,1.52,0.001410437235543,0.0009279192339098,5.0,46.28,9.256,0.0429441021453492,0.0046395961695494,1.0,2.04,2.04,0.0018929552371761,0.0009279192339098,8.0,22.44,2.805,0.0208225076089377,0.007423353871279,5.0,14.44,2.888,0.0133991537376586,0.0046395961695494,,,,,,,,,,,,,,,11.623171548916856,1058.0,0.010985984450772,0.0021929636597144,2.1253212867139606,0.0107973293149562,0.9817385494766532,513077.0,488775.6666666666,4687.0,0.9526360890600566,0.0091350810891932,16761.0,1214.0,745.0,88.0,0.0,445.0,0.0,0.0,16761.0,769.0,745.0,88.0,0.0,1.0,0.3665568369028006,0.6334431630971994,0.0,1.0,0.0,1.0,baseline,male_P35,male,P35,1072265,ELA,MDMA,ELA_MDMA
