box,day,phase,mouse,normDS,rank,time_point,exp,sex,age,mouse_ID,background,treatment,condition
1,1,active,blue,3.0,Alpha,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,1,active,red,1.2499999999999998,Beta,baseline,male_P35,male,P35,1072442,CTRL,MDMA,CTRL_MDMA
1,1,active,green,0.9999999999999996,Gamma,baseline,male_P35,male,P35,1072240,ELA,MDMA,ELA_MDMA
1,1,active,yellow,0.0,Delta,baseline,male_P35,male,P35,1072421,ELA,MDMA,ELA_MDMA
1,1,inactive,blue,3.0,Alpha,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,1,inactive,yellow,1.5,Beta,baseline,male_P35,male,P35,1072421,ELA,MDMA,ELA_MDMA
1,1,inactive,red,0.75,Gamma,baseline,male_P35,male,P35,1072442,CTRL,MDMA,CTRL_MDMA
1,1,inactive,green,0.75,Delta,baseline,male_P35,male,P35,1072240,ELA,MDMA,ELA_MDMA
1,2,active,blue,3.0,Alpha,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,2,active,red,0.75,Beta,baseline,male_P35,male,P35,1072442,CTRL,MDMA,CTRL_MDMA
1,2,active,yellow,0.75,Gamma,baseline,male_P35,male,P35,1072421,ELA,MDMA,ELA_MDMA
1,2,active,green,0.75,Delta,baseline,male_P35,male,P35,1072240,ELA,MDMA,ELA_MDMA
1,2,inactive,blue,3.0,Alpha,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,2,inactive,red,0.75,Beta,baseline,male_P35,male,P35,1072442,CTRL,MDMA,CTRL_MDMA
1,2,inactive,yellow,0.75,Gamma,baseline,male_P35,male,P35,1072421,ELA,MDMA,ELA_MDMA
1,2,inactive,green,0.75,Delta,baseline,male_P35,male,P35,1072240,ELA,MDMA,ELA_MDMA
1,3,active,blue,3.0,Alpha,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,3,active,red,1.2499999999999998,Beta,baseline,male_P35,male,P35,1072442,CTRL,MDMA,CTRL_MDMA
1,3,active,yellow,0.7499999999999999,Gamma,baseline,male_P35,male,P35,1072421,ELA,MDMA,ELA_MDMA
1,3,active,green,0.7499999999999999,Delta,baseline,male_P35,male,P35,1072240,ELA,MDMA,ELA_MDMA
1,3,inactive,blue,3.0,Alpha,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,3,inactive,red,0.75,Beta,baseline,male_P35,male,P35,1072442,CTRL,MDMA,CTRL_MDMA
1,3,inactive,yellow,0.75,Gamma,baseline,male_P35,male,P35,1072421,ELA,MDMA,ELA_MDMA
1,3,inactive,green,0.75,Delta,baseline,male_P35,male,P35,1072240,ELA,MDMA,ELA_MDMA
2,1,active,red,2.8333333333333335,Alpha,baseline,male_P35,male,P35,1072440,CTRL,MDMA,CTRL_MDMA
2,1,active,yellow,2.688888888888889,Beta,baseline,male_P35,male,P35,1072468,CTRL,MDMA,CTRL_MDMA
2,1,active,green,0.6166666666666665,Gamma,baseline,male_P35,male,P35,1072254,ELA,MDMA,ELA_MDMA
2,1,active,blue,0.0,Delta,baseline,male_P35,male,P35,1072265,ELA,MDMA,ELA_MDMA
2,1,inactive,red,2.625,Alpha,baseline,male_P35,male,P35,1072440,CTRL,MDMA,CTRL_MDMA
2,1,inactive,yellow,1.5,Beta,baseline,male_P35,male,P35,1072468,CTRL,MDMA,CTRL_MDMA
2,1,inactive,green,1.375,Gamma,baseline,male_P35,male,P35,1072254,ELA,MDMA,ELA_MDMA
2,1,inactive,blue,0.4999999999999995,Delta,baseline,male_P35,male,P35,1072265,ELA,MDMA,ELA_MDMA
2,2,active,red,3.0,Alpha,baseline,male_P35,male,P35,1072440,CTRL,MDMA,CTRL_MDMA
2,2,active,yellow,2.2928571428571427,Beta,baseline,male_P35,male,P35,1072468,CTRL,MDMA,CTRL_MDMA
2,2,active,green,0.9764705882352944,Gamma,baseline,male_P35,male,P35,1072254,ELA,MDMA,ELA_MDMA
2,2,active,blue,0.0,Delta,baseline,male_P35,male,P35,1072265,ELA,MDMA,ELA_MDMA
2,2,inactive,yellow,3.0,Alpha,baseline,male_P35,male,P35,1072468,CTRL,MDMA,CTRL_MDMA
2,2,inactive,red,2.25,Beta,baseline,male_P35,male,P35,1072440,CTRL,MDMA,CTRL_MDMA
2,2,inactive,green,1.03125,Gamma,baseline,male_P35,male,P35,1072254,ELA,MDMA,ELA_MDMA
2,2,inactive,blue,0.0,Delta,baseline,male_P35,male,P35,1072265,ELA,MDMA,ELA_MDMA
2,3,active,red,2.994827586206897,Alpha,baseline,male_P35,male,P35,1072440,CTRL,MDMA,CTRL_MDMA
2,3,active,yellow,2.216666666666667,Beta,baseline,male_P35,male,P35,1072468,CTRL,MDMA,CTRL_MDMA
2,3,active,green,0.4885057471264369,Gamma,baseline,male_P35,male,P35,1072254,ELA,MDMA,ELA_MDMA
