exp,box,mouse,mouse_ID,background,treatment,condition
male_P35,1,green,1072240,ELA,MDMA,ELA_MDMA
male_P35,1,yellow,1072421,ELA,MDMA,ELA_MDMA
male_P35,1,blue,1072482,CTRL,MDMA,CTRL_MDMA
male_P35,1,red,1072442,CTRL,MDMA,CTRL_MDMA
male_P35,2,blue,1072265,ELA,MDMA,ELA_MDMA
male_P35,2,green,1072254,ELA,MDMA,ELA_MDMA
male_P35,2,red,1072440,CTRL,MDMA,CTRL_MDMA
male_P35,2,yellow,1072468,CTRL,MDMA,CTRL_MDMA
male_P35,3,green,1072415,ELA,saline,ELA_saline
male_P35,3,yellow,1072239,ELA,saline,ELA_saline
male_P35,3,red,1072441,CTRL,saline,CTRL_saline
male_P35,3,blue,1072479,CTRL,saline,CTRL_saline
male_P35,8,yellow,1073094,ELA,MDMA,ELA_MDMA
male_P35,8,blue,1073150,ELA,MDMA,ELA_MDMA
male_P35,8,green,1073129,CTRL,MDMA,CTRL_MDMA
male_P35,8,red,1073139,CTRL,MDMA,CTRL_MDMA
male_P35,4,green,1072255,ELA,saline,ELA_saline
male_P35,4,red,1072419,ELA,saline,ELA_saline
male_P35,4,yellow,1072469,CTRL,saline,CTRL_saline
male_P35,4,blue,1072480,CTRL,saline,CTRL_saline
male_P35,5,green,1073091,ELA,saline,ELA_saline
male_P35,5,yellow,1073101,ELA,saline,ELA_saline
male_P35,5,red,1073117,CTRL,saline,CTRL_saline
male_P35,5,blue,1073127,CTRL,saline,CTRL_saline
male_P35,6,blue,1073092,ELA,saline,ELA_saline
male_P35,6,green,1073102,ELA,saline,ELA_saline
male_P35,6,red,1073128,CTRL,saline,CTRL_saline
male_P35,6,yellow,1073137,CTRL,saline,CTRL_saline
male_P35,7,green,1073093,ELA,MDMA,ELA_MDMA
male_P35,7,blue,1073149,ELA,MDMA,ELA_MDMA
male_P35,7,yellow,1073118,CTRL,MDMA,CTRL_MDMA
male_P35,7,red,1073138,CTRL,MDMA,CTRL_MDMA
female_P42,1,red,1072335,ELA,MDMA,ELA_MDMA
female_P42,1,blue,1072271,ELA,MDMA,ELA_MDMA
female_P42,1,green,1072473,CTRL,MDMA,CTRL_MDMA
female_P42,1,yellow,1072483,CTRL,MDMA,CTRL_MDMA
female_P42,2,blue,1072272,ELA,MDMA,ELA_MDMA
female_P42,2,yellow,1072259,ELA,MDMA,ELA_MDMA
female_P42,2,green,1072443,CTRL,MDMA,CTRL_MDMA
female_P42,2,red,1072474,CTRL,MDMA,CTRL_MDMA
female_P42,3,yellow,1072424,ELA,saline,ELA_saline
female_P42,3,red,1072245,ELA,saline,ELA_saline
female_P42,3,blue,1072444,CTRL,saline,CTRL_saline
female_P42,3,green,1072484,CTRL,saline,CTRL_saline
female_P42,4,red,1072260,ELA,saline,ELA_saline
female_P42,4,green,1072425,ELA,saline,ELA_saline
female_P42,4,yellow,1072475,CTRL,saline,CTRL_saline
female_P42,4,blue,1072485,CTRL,saline,CTRL_saline
female_P42,5,blue,1073096,ELA,saline,ELA_saline
female_P42,5,green,1073106,ELA,saline,ELA_saline
female_P42,5,red,1073132,CTRL,saline,CTRL_saline
female_P42,5,yellow,1073122,CTRL,saline,CTRL_saline
female_P42,6,red,1073097,ELA,saline,ELA_saline
female_P42,6,blue,1073107,ELA,saline,ELA_saline
female_P42,6,green,1073133,CTRL,saline,CTRL_saline
